,Achievements,Appearence.and.gestures,Assertiveness,Borrowed.stuff,Changing.the.past,Charity,Cheating.in.school,Children,Compassion.to.animals,Criminal.damage,Daily.events,Decision.making,Dreams,Eating.to.survive,Elections,Empathy,Energy.levels,Fake,Final.judgement,Finding.lost.valuables,Friends.versus.money,Funniness,Getting.angry,Getting.up,Giving,God,Happiness.in.life,Health,Hypochondria,Interests.or.hobbies,Judgment.calls,Keeping.promises,Knowing.the.right.people,Life.struggles,Loneliness,Loss.of.interest,Mood.swings,New.environment,Number.of.friends,Parents..advice,Personality,Prioritising.workload,Public.speaking,Questionnaires.or.polls,Reliability,Responding.to.a.serious.letter,Self.criticism,Small...big.dogs,Socializing,Thinking.ahead,Unpopularity,Waiting,Workaholism,Writing.notes
53,3.0,4.0,4.0,4.0,1.0,3.0,3.0,3.0,4.0,2.0,1.0,4.0,3.0,3.0,4.0,5.0,3.0,2.0,3.0,1.0,4.0,5.0,3.0,4.0,3.0,5.0,2.0,4.0,2.0,4.0,5.0,4.0,3.0,3.0,3.0,5.0,3.0,4.0,5.0,3.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,5.0,3.0,4.0,3.0,2.0,3.0,1.0
55,4.0,4.0,3.0,4.0,3.0,3.0,3.0,5.0,5.0,4.0,2.0,3.0,3.0,3.0,3.0,5.0,5.0,1.0,1.0,3.0,3.0,5.0,1.0,3.0,4.0,3.0,3.0,3.0,1.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,2.0,5.0,5.0,3.0,3.0,1.0,3.0,3.0,5.0,5.0,4.0,4.0,5.0,5.0,3.0,3.0,4.0,2.0
63,2.0,4.0,4.0,4.0,3.0,1.0,4.0,3.0,4.0,5.0,1.0,4.0,4.0,5.0,4.0,5.0,5.0,1.0,4.0,1.0,3.0,5.0,2.0,3.0,3.0,1.0,3.0,4.0,1.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,3.0,5.0,4.0,3.0,4.0,3.0,1.0,5.0,4.0,4.0,5.0,3.0,5.0,2.0,2.0,5.0,3.0
64,3.0,5.0,4.0,4.0,1.0,2.0,5.0,3.0,3.0,4.0,4.0,3.0,3.0,1.0,3.0,2.0,4.0,2.0,1.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,1.0,5.0,4.0,4.0,3.0,1.0,2.0,3.0,3.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,5.0,1.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0
82,4.0,4.0,4.0,5.0,2.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,5.0,1.0,3.0,4.0,4.0,3.0,2.0,4.0,3.0,1.0,4.0,2.0,1.0,5.0,4.0,4.0,4.0,2.0,3.0,3.0,2.0,5.0,5.0,3.0,4.0,3.0,2.0,1.0,4.0,1.0,3.0,1.0,4.0,4.0,3.0,2.0,4.0,3.0
94,2.0,2.0,5.0,4.0,1.0,1.0,5.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,5.0,2.0,1.0,3.0,1.0,4.0,1.0,3.0,1.0,5.0,5.0,1.0,1.0,5.0,1.0,4.0,3.0,1.0,3.0,1.0,2.0,5.0,5.0,2.0,5.0,1.0,2.0,2.0,2.0,1.0,4.0,5.0,3.0,1.0,3.0,5.0,2.0,1.0
98,4.0,2.0,5.0,5.0,5.0,2.0,5.0,5.0,2.0,5.0,1.0,1.0,4.0,4.0,5.0,4.0,3.0,4.0,1.0,1.0,3.0,4.0,2.0,1.0,1.0,5.0,3.0,1.0,1.0,5.0,3.0,5.0,4.0,1.0,5.0,5.0,5.0,5.0,2.0,3.0,3.0,1.0,2.0,1.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,1.0
105,1.0,4.0,2.0,3.0,1.0,3.0,2.0,3.0,5.0,1.0,5.0,4.0,4.0,1.0,5.0,3.0,5.0,5.0,1.0,3.0,1.0,3.0,2.0,4.0,1.0,1.0,5.0,1.0,1.0,3.0,5.0,5.0,5.0,1.0,1.0,1.0,3.0,5.0,3.0,4.0,3.0,4.0,2.0,1.0,5.0,2.0,5.0,4.0,3.0,5.0,5.0,2.0,4.0,2.0
121,3.0,2.0,5.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,5.0,1.0,3.0,1.0,5.0,3.0,2.0,4.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,5.0,4.0,3.0,1.0,2.0,5.0,1.0,5.0,1.0,2.0,4.0,2.0,1.0,5.0,5.0,3.0,5.0,3.0,4.0,5.0,3.0,4.0,5.0,1.0
122,2.0,3.0,3.0,4.0,1.0,1.0,5.0,4.0,5.0,1.0,4.0,3.0,4.0,4.0,1.0,4.0,4.0,2.0,2.0,1.0,2.0,5.0,3.0,3.0,2.0,4.0,4.0,2.0,1.0,4.0,3.0,4.0,5.0,1.0,2.0,3.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,2.0
125,3.0,3.0,4.0,4.0,2.0,4.0,2.0,4.0,2.0,1.0,4.0,2.0,4.0,2.0,3.0,3.0,4.0,1.0,2.0,3.0,2.0,3.0,1.0,3.0,4.0,1.0,3.0,2.0,1.0,4.0,3.0,4.0,3.0,1.0,2.0,1.0,2.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,4.0,1.0,5.0,5.0,2.0,4.0,4.0,4.0,3.0,2.0
155,4.0,3.0,5.0,4.0,1.0,2.0,5.0,1.0,5.0,2.0,4.0,3.0,3.0,2.0,1.0,1.0,4.0,1.0,1.0,3.0,3.0,3.0,4.0,2.0,1.0,1.0,5.0,4.0,2.0,5.0,4.0,5.0,5.0,2.0,2.0,2.0,2.0,5.0,3.0,3.0,2.0,4.0,3.0,3.0,5.0,5.0,4.0,4.0,2.0,5.0,5.0,4.0,3.0,4.0
165,4.0,5.0,4.0,3.0,4.0,2.0,4.0,4.0,5.0,4.0,4.0,2.0,3.0,2.0,4.0,5.0,3.0,4.0,1.0,1.0,2.0,4.0,4.0,5.0,2.0,2.0,4.0,2.0,2.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,3.0,2.0,2.0,5.0,4.0,2.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,1.0
177,2.0,3.0,5.0,3.0,2.0,2.0,5.0,4.0,1.0,4.0,3.0,2.0,4.0,1.0,4.0,4.0,5.0,1.0,1.0,4.0,5.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0,5.0,4.0,4.0,2.0,2.0,2.0,1.0,2.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,4.0,2.0,4.0,4.0,5.0,2.0
181,3.0,2.0,5.0,5.0,1.0,1.0,4.0,3.0,1.0,5.0,3.0,1.0,3.0,1.0,5.0,5.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,5.0,1.0,1.0,4.0,1.0,1.0,2.0,5.0,4.0,5.0,1.0,3.0,3.0,3.0,5.0,3.0,2.0,3.0,1.0,1.0,1.0,5.0,1.0,5.0,3.0,3.0,4.0,5.0,1.0,3.0,3.0
182,1.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,5.0,2.0,3.0,3.0,4.0,2.0,1.0,5.0,5.0,1.0,1.0,5.0,5.0,4.0,2.0,5.0,1.0,5.0,4.0,2.0,1.0,5.0,5.0,4.0,3.0,2.0,2.0,2.0,1.0,4.0,4.0,4.0,3.0,2.0,3.0,1.0,3.0,4.0,2.0,5.0,2.0,3.0,3.0,3.0,2.0,4.0
199,2.0,4.0,5.0,3.0,2.0,1.0,5.0,4.0,2.0,5.0,3.0,1.0,3.0,3.0,5.0,4.0,5.0,2.0,1.0,1.0,5.0,5.0,5.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,4.0,4.0,3.0,1.0,1.0,5.0,5.0,4.0,5.0,2.0,4.0,1.0,1.0,2.0,4.0,3.0,1.0,5.0,4.0,1.0,2.0,3.0,3.0,1.0
203,2.0,5.0,4.0,5.0,1.0,4.0,5.0,3.0,5.0,5.0,3.0,4.0,4.0,2.0,1.0,4.0,4.0,1.0,3.0,2.0,5.0,3.0,3.0,4.0,4.0,1.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,1.0,3.0,5.0,4.0,5.0,4.0,2.0,4.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,5.0,4.0,2.0,2.0,1.0
213,4.0,5.0,5.0,5.0,3.0,3.0,1.0,3.0,2.0,1.0,2.0,3.0,3.0,1.0,5.0,1.0,2.0,2.0,1.0,3.0,5.0,5.0,1.0,4.0,1.0,3.0,3.0,1.0,1.0,5.0,5.0,5.0,4.0,1.0,2.0,5.0,2.0,5.0,5.0,3.0,4.0,3.0,3.0,3.0,5.0,1.0,5.0,2.0,5.0,5.0,1.0,5.0,3.0,2.0
216,4.0,3.0,5.0,1.0,3.0,1.0,5.0,5.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,5.0,2.0,1.0,1.0,5.0,5.0,4.0,3.0,3.0,3.0,4.0,3.0,1.0,5.0,3.0,4.0,5.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0
219,4.0,4.0,2.0,5.0,2.0,1.0,5.0,2.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,2.0,5.0,2.0,2.0,1.0,3.0,4.0,1.0,5.0,1.0,5.0,4.0,4.0,1.0,2.0,4.0,4.0,5.0,1.0,4.0,2.0,2.0,4.0,2.0,4.0,3.0,3.0,4.0,2.0,4.0,4.0,1.0,5.0,5.0,1.0,5.0,2.0,3.0,1.0
220,3.0,5.0,3.0,5.0,5.0,3.0,5.0,3.0,4.0,1.0,5.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,1.0,3.0,3.0,5.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,5.0,5.0,5.0,5.0,1.0,2.0,3.0,3.0,5.0,5.0,5.0,3.0,3.0,5.0,3.0,5.0,3.0,5.0,3.0,5.0,5.0,5.0,3.0,3.0,5.0
221,3.0,3.0,3.0,5.0,1.0,1.0,5.0,3.0,5.0,5.0,2.0,4.0,3.0,2.0,4.0,4.0,4.0,2.0,2.0,3.0,4.0,4.0,2.0,4.0,3.0,2.0,5.0,3.0,1.0,5.0,4.0,5.0,4.0,1.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,2.0,5.0,3.0,3.0,4.0,2.0,3.0,4.0,2.0,3.0,2.0,1.0,2.0
222,3.0,3.0,5.0,5.0,1.0,2.0,5.0,5.0,5.0,3.0,3.0,1.0,3.0,4.0,5.0,5.0,3.0,1.0,1.0,2.0,5.0,5.0,2.0,2.0,5.0,1.0,5.0,2.0,1.0,4.0,5.0,3.0,3.0,1.0,2.0,5.0,2.0,5.0,5.0,2.0,3.0,4.0,5.0,3.0,5.0,1.0,1.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0
230,3.0,4.0,4.0,4.0,2.0,1.0,5.0,4.0,3.0,3.0,2.0,3.0,3.0,5.0,4.0,5.0,4.0,3.0,3.0,1.0,4.0,3.0,1.0,3.0,3.0,5.0,5.0,2.0,1.0,4.0,4.0,5.0,3.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,1.0,4.0,2.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,1.0,2.0
238,3.0,4.0,4.0,5.0,4.0,1.0,5.0,5.0,4.0,5.0,5.0,2.0,3.0,3.0,1.0,5.0,4.0,1.0,1.0,1.0,2.0,2.0,3.0,5.0,5.0,1.0,4.0,3.0,2.0,4.0,4.0,5.0,5.0,4.0,2.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,2.0,2.0,5.0,3.0,5.0,3.0,5.0,3.0,3.0,3.0,4.0,4.0
246,3.0,4.0,5.0,4.0,5.0,3.0,5.0,2.0,5.0,2.0,1.0,1.0,4.0,2.0,1.0,5.0,5.0,1.0,1.0,3.0,5.0,3.0,1.0,5.0,4.0,3.0,3.0,3.0,1.0,5.0,4.0,4.0,3.0,2.0,3.0,1.0,1.0,4.0,5.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,4.0,5.0,5.0,3.0,3.0,4.0,5.0,5.0
257,3.0,5.0,3.0,4.0,1.0,1.0,5.0,2.0,5.0,1.0,3.0,1.0,4.0,4.0,4.0,4.0,5.0,2.0,1.0,1.0,2.0,3.0,4.0,4.0,1.0,1.0,4.0,3.0,1.0,4.0,4.0,3.0,5.0,5.0,1.0,5.0,3.0,4.0,1.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,5.0,3.0,3.0,3.0,3.0,2.0,3.0
264,3.0,5.0,5.0,1.0,3.0,1.0,5.0,3.0,2.0,5.0,2.0,4.0,4.0,1.0,4.0,4.0,3.0,1.0,1.0,2.0,2.0,1.0,3.0,5.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,5.0,5.0,2.0,1.0,5.0,3.0,5.0,5.0,3.0,3.0,1.0,1.0,5.0,3.0,1.0,3.0,1.0,5.0,2.0,3.0,3.0,1.0,3.0
275,3.0,3.0,3.0,4.0,1.0,1.0,4.0,2.0,4.0,3.0,3.0,4.0,3.0,2.0,5.0,2.0,4.0,2.0,3.0,3.0,5.0,3.0,4.0,5.0,3.0,2.0,4.0,3.0,2.0,4.0,4.0,5.0,4.0,4.0,2.0,4.0,3.0,4.0,5.0,2.0,3.0,2.0,3.0,3.0,5.0,1.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0
279,1.0,3.0,3.0,4.0,5.0,1.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,1.0,5.0,3.0,4.0,1.0,5.0,1.0,4.0,4.0,4.0,3.0,1.0,5.0,4.0,1.0,1.0,5.0,5.0,4.0,5.0,1.0,3.0,5.0,2.0,5.0,5.0,4.0,4.0,1.0,3.0,3.0,5.0,4.0,5.0,4.0,5.0,5.0,1.0,3.0,1.0,1.0
284,2.0,4.0,3.0,4.0,1.0,2.0,4.0,5.0,3.0,2.0,3.0,2.0,3.0,1.0,4.0,2.0,5.0,1.0,4.0,3.0,3.0,3.0,2.0,5.0,1.0,3.0,4.0,3.0,1.0,5.0,5.0,5.0,4.0,2.0,1.0,3.0,2.0,4.0,5.0,3.0,3.0,3.0,4.0,2.0,5.0,2.0,1.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0
285,3.0,4.0,3.0,5.0,1.0,1.0,5.0,5.0,3.0,2.0,3.0,2.0,4.0,1.0,1.0,4.0,5.0,2.0,1.0,3.0,3.0,4.0,2.0,2.0,3.0,1.0,5.0,2.0,1.0,5.0,4.0,3.0,4.0,1.0,1.0,2.0,2.0,5.0,4.0,3.0,4.0,4.0,4.0,1.0,4.0,3.0,1.0,3.0,4.0,2.0,3.0,2.0,1.0,4.0
290,4.0,2.0,4.0,4.0,2.0,2.0,5.0,3.0,3.0,2.0,5.0,1.0,3.0,2.0,5.0,4.0,5.0,4.0,1.0,1.0,5.0,4.0,3.0,5.0,2.0,2.0,4.0,2.0,1.0,5.0,5.0,5.0,5.0,4.0,2.0,4.0,4.0,5.0,5.0,2.0,3.0,1.0,1.0,1.0,5.0,1.0,5.0,4.0,3.0,2.0,2.0,3.0,4.0,1.0
297,5.0,1.0,5.0,4.0,2.0,1.0,5.0,1.0,2.0,5.0,5.0,2.0,3.0,1.0,5.0,3.0,5.0,2.0,2.0,1.0,5.0,5.0,5.0,5.0,2.0,1.0,5.0,3.0,1.0,5.0,5.0,5.0,5.0,1.0,1.0,3.0,5.0,5.0,5.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,5.0,5.0,5.0,3.0,1.0,3.0,1.0,1.0
305,4.0,4.0,5.0,1.0,1.0,3.0,4.0,4.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,3.0,4.0,4.0,1.0,1.0,4.0,4.0,1.0,4.0,4.0,1.0,5.0,1.0,1.0,5.0,4.0,2.0,5.0,3.0,3.0,2.0,1.0,5.0,4.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,5.0,3.0,4.0,5.0,3.0,1.0
312,3.0,5.0,5.0,5.0,3.0,4.0,3.0,2.0,5.0,5.0,5.0,1.0,3.0,1.0,5.0,4.0,5.0,3.0,2.0,1.0,2.0,5.0,1.0,1.0,5.0,3.0,5.0,4.0,1.0,5.0,5.0,3.0,5.0,3.0,3.0,5.0,3.0,5.0,3.0,4.0,3.0,3.0,3.0,5.0,5.0,3.0,5.0,3.0,3.0,4.0,5.0,3.0,3.0,2.0
318,3.0,3.0,5.0,5.0,1.0,2.0,5.0,4.0,5.0,5.0,3.0,5.0,4.0,2.0,5.0,5.0,4.0,2.0,1.0,2.0,5.0,3.0,1.0,3.0,3.0,1.0,3.0,4.0,1.0,3.0,1.0,4.0,4.0,1.0,3.0,3.0,3.0,5.0,3.0,4.0,3.0,2.0,3.0,3.0,5.0,5.0,3.0,4.0,3.0,2.0,1.0,3.0,3.0,3.0
326,3.0,5.0,4.0,4.0,4.0,1.0,3.0,3.0,5.0,4.0,3.0,2.0,3.0,1.0,5.0,4.0,4.0,1.0,1.0,2.0,5.0,4.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,3.0,1.0,3.0,3.0,2.0,4.0,2.0,5.0,4.0,4.0,2.0,3.0,3.0
329,3.0,4.0,5.0,3.0,3.0,3.0,5.0,3.0,5.0,1.0,3.0,3.0,5.0,5.0,5.0,1.0,5.0,1.0,3.0,5.0,5.0,5.0,3.0,3.0,1.0,3.0,4.0,3.0,1.0,5.0,3.0,5.0,5.0,1.0,3.0,5.0,2.0,4.0,4.0,3.0,3.0,3.0,5.0,3.0,5.0,1.0,4.0,4.0,5.0,3.0,3.0,2.0,3.0,3.0
349,2.0,5.0,3.0,4.0,3.0,1.0,2.0,3.0,2.0,3.0,4.0,5.0,5.0,1.0,4.0,5.0,5.0,4.0,1.0,2.0,5.0,5.0,3.0,3.0,4.0,3.0,5.0,2.0,1.0,5.0,5.0,4.0,4.0,1.0,3.0,2.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,2.0,4.0,2.0,2.0,3.0,1.0,3.0,3.0,3.0
350,5.0,4.0,5.0,3.0,5.0,2.0,5.0,4.0,5.0,3.0,3.0,2.0,3.0,2.0,1.0,3.0,5.0,2.0,1.0,3.0,5.0,5.0,3.0,5.0,3.0,3.0,4.0,5.0,4.0,4.0,5.0,3.0,5.0,4.0,2.0,3.0,2.0,5.0,3.0,4.0,4.0,1.0,3.0,5.0,4.0,3.0,2.0,5.0,5.0,5.0,3.0,3.0,2.0,2.0
358,4.0,5.0,4.0,3.0,2.0,3.0,4.0,4.0,5.0,4.0,3.0,3.0,4.0,1.0,4.0,3.0,5.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,5.0,2.0,4.0,3.0,1.0,4.0,5.0,3.0,4.0,3.0,3.0,5.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,5.0,3.0,3.0,4.0,4.0,2.0,4.0,3.0,3.0,2.0
368,3.0,4.0,3.0,5.0,5.0,1.0,5.0,3.0,5.0,5.0,3.0,3.0,3.0,4.0,3.0,5.0,5.0,3.0,5.0,1.0,5.0,5.0,1.0,5.0,2.0,5.0,4.0,5.0,1.0,3.0,5.0,5.0,5.0,1.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0,1.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0,5.0,4.0,3.0,2.0,1.0
373,4.0,3.0,3.0,5.0,1.0,1.0,5.0,1.0,2.0,5.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,4.0,3.0,1.0,3.0,4.0,5.0,4.0,2.0,2.0,3.0,1.0,4.0,1.0,2.0,3.0,4.0,2.0,2.0,5.0,3.0,5.0,1.0,3.0,5.0,5.0,4.0,4.0,4.0
386,4.0,4.0,3.0,5.0,3.0,2.0,5.0,4.0,3.0,5.0,2.0,1.0,4.0,2.0,5.0,5.0,4.0,2.0,1.0,2.0,4.0,4.0,1.0,4.0,1.0,1.0,4.0,5.0,1.0,5.0,4.0,3.0,4.0,3.0,3.0,2.0,1.0,4.0,4.0,2.0,4.0,1.0,3.0,3.0,4.0,2.0,3.0,3.0,5.0,3.0,2.0,4.0,1.0,3.0
394,1.0,4.0,3.0,1.0,3.0,1.0,2.0,3.0,3.0,4.0,2.0,3.0,4.0,1.0,1.0,2.0,5.0,1.0,1.0,5.0,5.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,4.0,3.0,5.0,2.0,1.0,3.0,1.0,3.0,5.0,3.0,3.0,4.0,2.0,1.0,3.0,5.0,3.0,2.0,5.0,3.0,3.0,3.0,4.0,2.0,1.0
396,3.0,3.0,5.0,4.0,3.0,1.0,3.0,2.0,2.0,1.0,2.0,3.0,4.0,1.0,1.0,3.0,5.0,1.0,1.0,2.0,3.0,2.0,3.0,1.0,3.0,1.0,3.0,3.0,1.0,3.0,5.0,4.0,4.0,1.0,3.0,1.0,2.0,5.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,5.0,3.0,3.0,3.0,1.0
411,3.0,2.0,5.0,5.0,3.0,1.0,5.0,4.0,5.0,1.0,3.0,5.0,3.0,3.0,5.0,4.0,5.0,1.0,3.0,1.0,3.0,5.0,3.0,3.0,5.0,1.0,5.0,2.0,3.0,5.0,3.0,3.0,3.0,1.0,2.0,3.0,2.0,5.0,5.0,3.0,4.0,3.0,1.0,3.0,3.0,1.0,3.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0
415,4.0,5.0,5.0,2.0,1.0,2.0,3.0,5.0,2.0,1.0,3.0,2.0,4.0,3.0,4.0,5.0,5.0,1.0,1.0,4.0,4.0,5.0,1.0,3.0,2.0,1.0,5.0,2.0,1.0,5.0,5.0,3.0,4.0,3.0,1.0,5.0,2.0,5.0,5.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,1.0,5.0,2.0,1.0,4.0,3.0,3.0
