,Branded.clothing,Entertainment.spending,Finances,Shopping.centres,Spending.on.gadgets,Spending.on.healthy.eating,Spending.on.looks
252,1.0,4.0,3.0,5.0,1.0,4.0,3.0
253,3.0,2.0,5.0,5.0,2.0,3.0,2.0
255,1.0,3.0,3.0,4.0,1.0,3.0,3.0
258,4.0,3.0,4.0,4.0,4.0,4.0,3.0
261,3.0,3.0,3.0,3.0,3.0,3.0,3.0
263,2.0,3.0,3.0,3.0,2.0,5.0,3.0
266,3.0,3.0,5.0,5.0,2.0,3.0,3.0
268,3.0,3.0,3.0,4.0,3.0,4.0,3.0
269,3.0,3.0,4.0,3.0,3.0,4.0,4.0
271,3.0,2.0,2.0,4.0,3.0,3.0,4.0
283,3.0,3.0,4.0,3.0,3.0,4.0,4.0
286,3.0,3.0,4.0,4.0,2.0,4.0,3.0
296,3.0,4.0,3.0,3.0,2.0,4.0,4.0
299,3.0,3.0,4.0,2.0,2.0,3.0,4.0
300,3.0,3.0,3.0,4.0,3.0,4.0,3.0
301,5.0,2.0,4.0,2.0,1.0,4.0,3.0
303,1.0,4.0,3.0,3.0,2.0,3.0,4.0
304,2.0,2.0,4.0,4.0,2.0,3.0,2.0
305,3.0,3.0,3.0,4.0,1.0,3.0,1.0
307,4.0,2.0,4.0,5.0,2.0,5.0,3.0
310,3.0,2.0,3.0,4.0,4.0,3.0,4.0
311,3.0,3.0,3.0,3.0,3.0,3.0,3.0
314,2.0,3.0,3.0,4.0,2.0,3.0,3.0
315,3.0,2.0,3.0,5.0,3.0,3.0,1.0
317,5.0,3.0,3.0,5.0,3.0,3.0,3.0
319,3.0,3.0,3.0,3.0,3.0,3.0,3.0
320,4.0,3.0,3.0,5.0,2.0,4.0,2.0
321,3.0,3.0,5.0,3.0,3.0,4.0,2.0
323,4.0,2.0,2.0,5.0,1.0,4.0,3.0
324,2.0,3.0,4.0,5.0,3.0,4.0,4.0
325,3.0,3.0,3.0,3.0,3.0,4.0,3.0
328,4.0,2.0,5.0,4.0,3.0,3.0,3.0
334,3.0,1.0,3.0,4.0,2.0,3.0,4.0
340,4.0,2.0,2.0,4.0,1.0,4.0,2.0
341,4.0,3.0,4.0,4.0,1.0,2.0,5.0
344,3.0,2.0,3.0,3.0,2.0,5.0,3.0
353,4.0,3.0,3.0,3.0,2.0,3.0,4.0
354,4.0,3.0,3.0,4.0,2.0,4.0,3.0
358,1.0,2.0,2.0,3.0,3.0,5.0,5.0
366,3.0,3.0,3.0,3.0,2.0,4.0,4.0
369,4.0,3.0,4.0,3.0,3.0,4.0,3.0
371,5.0,3.0,3.0,3.0,2.0,4.0,4.0
373,3.0,2.0,3.0,4.0,2.0,4.0,2.0
377,2.0,3.0,1.0,5.0,1.0,1.0,1.0
381,3.0,3.0,4.0,3.0,3.0,3.0,4.0
387,1.0,3.0,4.0,4.0,2.0,4.0,3.0
389,2.0,2.0,3.0,4.0,2.0,2.0,4.0
390,4.0,3.0,4.0,5.0,2.0,4.0,4.0
391,3.0,1.0,4.0,4.0,3.0,4.0,2.0
393,2.0,2.0,4.0,4.0,1.0,3.0,3.0
398,1.0,2.0,3.0,5.0,3.0,4.0,5.0
399,3.0,1.0,3.0,5.0,3.0,3.0,3.0
405,4.0,3.0,5.0,4.0,3.0,4.0,4.0
408,3.0,3.0,3.0,4.0,2.0,3.0,4.0
412,3.0,2.0,2.0,4.0,3.0,4.0,4.0
413,1.0,4.0,3.0,3.0,1.0,1.0,5.0
417,3.0,4.0,3.0,3.0,2.0,2.0,4.0
419,3.0,1.0,3.0,5.0,1.0,1.0,2.0
423,3.0,4.0,4.0,5.0,3.0,4.0,4.0
425,3.0,2.0,2.0,5.0,1.0,2.0,3.0
426,3.0,3.0,4.0,4.0,1.0,1.0,3.0
431,4.0,2.0,4.0,4.0,2.0,2.0,2.0
432,3.0,4.0,5.0,4.0,4.0,4.0,3.0
436,3.0,2.0,2.0,5.0,1.0,3.0,3.0
437,1.0,2.0,1.0,5.0,2.0,3.0,4.0
438,1.0,4.0,3.0,3.0,3.0,3.0,5.0
440,4.0,5.0,4.0,4.0,1.0,3.0,5.0
443,2.0,4.0,2.0,4.0,3.0,3.0,5.0
452,4.0,4.0,4.0,4.0,2.0,4.0,4.0
454,3.0,4.0,5.0,2.0,2.0,2.0,3.0
455,3.0,3.0,4.0,5.0,1.0,4.0,4.0
456,2.0,1.0,3.0,4.0,2.0,4.0,3.0
460,4.0,3.0,4.0,3.0,2.0,3.0,3.0
462,3.0,2.0,3.0,3.0,3.0,4.0,4.0
465,4.0,3.0,3.0,5.0,2.0,4.0,5.0
466,3.0,2.0,4.0,2.0,2.0,4.0,4.0
467,3.0,2.0,1.0,5.0,3.0,3.0,3.0
471,3.0,2.0,5.0,3.0,1.0,2.0,3.0
477,3.0,5.0,3.0,4.0,2.0,3.0,4.0
480,2.0,3.0,3.0,3.0,2.0,3.0,3.0
481,3.0,3.0,3.0,4.0,3.0,4.0,4.0
485,3.0,3.0,2.0,3.0,2.0,3.0,3.0
491,2.0,3.0,3.0,4.0,3.0,3.0,3.0
495,1.0,4.0,3.0,4.0,2.0,4.0,3.0
497,2.0,3.0,3.0,4.0,2.0,4.0,2.0
498,3.0,2.0,3.0,3.0,2.0,3.0,3.0
501,2.0,3.0,3.0,3.0,2.0,4.0,3.0
502,5.0,3.0,5.0,2.0,2.0,3.0,4.0
507,4.0,3.0,2.0,4.0,3.0,3.0,3.0
508,2.0,5.0,3.0,4.0,2.0,3.0,4.0
509,4.0,4.0,4.0,4.0,3.0,3.0,3.0
514,4.0,3.0,4.0,3.0,3.0,3.0,3.0
519,4.0,3.0,4.0,5.0,1.0,4.0,4.0
521,3.0,3.0,3.0,3.0,3.0,3.0,3.0
522,1.0,4.0,1.0,5.0,1.0,3.0,5.0
523,3.0,3.0,3.0,4.0,3.0,5.0,4.0
526,3.0,3.0,3.0,3.0,3.0,3.0,3.0
532,3.0,2.0,3.0,4.0,2.0,5.0,1.0
533,2.0,3.0,2.0,4.0,1.0,4.0,5.0
535,3.0,3.0,3.0,3.0,3.0,3.0,3.0
541,4.0,3.0,3.0,4.0,3.0,5.0,3.0
547,2.0,4.0,4.0,4.0,3.0,5.0,2.0
550,1.0,4.0,3.0,4.0,1.0,5.0,4.0
552,2.0,3.0,2.0,3.0,2.0,5.0,3.0
554,3.0,2.0,2.0,5.0,2.0,2.0,4.0
555,4.0,2.0,3.0,4.0,2.0,3.0,3.0
556,1.0,3.0,1.0,5.0,2.0,5.0,5.0
557,4.0,2.0,3.0,5.0,2.0,5.0,4.0
558,4.0,3.0,4.0,3.0,3.0,3.0,3.0
559,2.0,2.0,2.0,4.0,2.0,2.0,2.0
560,2.0,4.0,3.0,3.0,2.0,2.0,3.0
563,3.0,4.0,3.0,4.0,2.0,3.0,3.0
566,3.0,3.0,3.0,4.0,3.0,3.0,3.0
569,2.0,2.0,3.0,4.0,2.0,2.0,3.0
573,4.0,3.0,5.0,5.0,4.0,3.0,4.0
578,3.0,2.0,3.0,5.0,2.0,2.0,3.0
579,1.0,3.0,3.0,4.0,3.0,4.0,2.0
581,5.0,2.0,5.0,3.0,4.0,5.0,2.0
582,4.0,5.0,4.0,4.0,3.0,2.0,3.0
583,4.0,4.0,5.0,3.0,2.0,3.0,3.0
589,4.0,3.0,2.0,4.0,2.0,3.0,4.0
592,4.0,1.0,4.0,4.0,5.0,4.0,3.0
598,3.0,2.0,3.0,4.0,3.0,4.0,3.0
601,2.0,4.0,3.0,4.0,2.0,4.0,2.0
602,3.0,3.0,3.0,3.0,2.0,2.0,3.0
604,3.0,4.0,3.0,4.0,2.0,3.0,2.0
608,1.0,3.0,3.0,5.0,1.0,1.0,4.0
609,2.0,2.0,3.0,4.0,3.0,4.0,2.0
623,3.0,5.0,3.0,4.0,2.0,4.0,3.0
627,3.0,3.0,4.0,3.0,3.0,3.0,3.0
628,5.0,1.0,5.0,5.0,1.0,1.0,1.0
631,3.0,1.0,3.0,5.0,2.0,4.0,4.0
632,3.0,3.0,2.0,4.0,3.0,5.0,3.0
643,4.0,2.0,4.0,5.0,3.0,2.0,4.0
645,5.0,2.0,4.0,4.0,2.0,3.0,2.0
647,4.0,3.0,3.0,3.0,2.0,4.0,2.0
648,2.0,1.0,3.0,5.0,1.0,4.0,3.0
651,3.0,3.0,3.0,4.0,4.0,4.0,3.0
652,4.0,3.0,5.0,4.0,3.0,4.0,3.0
655,4.0,2.0,4.0,3.0,2.0,3.0,4.0
656,2.0,3.0,3.0,4.0,2.0,4.0,4.0
660,5.0,3.0,4.0,3.0,1.0,2.0,3.0
663,4.0,3.0,4.0,4.0,1.0,3.0,3.0
664,3.0,3.0,3.0,3.0,3.0,3.0,3.0
665,3.0,3.0,4.0,4.0,2.0,4.0,3.0
670,4.0,4.0,4.0,4.0,3.0,2.0,3.0
671,3.0,3.0,3.0,3.0,3.0,3.0,3.0
672,3.0,2.0,3.0,4.0,1.0,5.0,4.0
673,4.0,1.0,4.0,4.0,4.0,2.0,2.0
675,2.0,2.0,3.0,3.0,3.0,4.0,4.0
676,3.0,3.0,3.0,5.0,3.0,2.0,3.0
677,2.0,2.0,3.0,4.0,2.0,4.0,4.0
681,3.0,3.0,3.0,3.0,1.0,3.0,3.0
685,4.0,3.0,2.0,5.0,3.0,2.0,3.0
686,2.0,2.0,3.0,5.0,3.0,4.0,4.0
687,3.0,3.0,3.0,3.0,3.0,3.0,3.0
688,3.0,3.0,3.0,3.0,3.0,4.0,3.0
689,3.0,2.0,4.0,3.0,1.0,5.0,3.0
690,4.0,3.0,4.0,5.0,3.0,4.0,4.0
694,3.0,2.0,3.0,5.0,3.0,5.0,3.0
696,4.0,3.0,3.0,3.0,2.0,5.0,3.0
698,3.0,2.0,2.0,3.0,2.0,4.0,4.0
700,2.0,3.0,2.0,4.0,2.0,3.0,4.0
701,2.0,3.0,4.0,3.0,2.0,4.0,3.0
702,3.0,3.0,4.0,3.0,3.0,5.0,2.0
706,3.0,4.0,3.0,4.0,3.0,3.0,3.0
711,3.0,3.0,4.0,4.0,1.0,3.0,4.0
715,3.0,3.0,5.0,3.0,4.0,3.0,3.0
717,4.0,2.0,5.0,5.0,3.0,5.0,2.0
719,2.0,3.0,3.0,3.0,2.0,4.0,3.0
721,2.0,1.0,4.0,4.0,5.0,5.0,3.0
722,4.0,3.0,4.0,3.0,1.0,2.0,3.0
734,2.0,3.0,3.0,4.0,2.0,4.0,3.0
738,3.0,2.0,3.0,3.0,3.0,2.0,3.0
747,3.0,2.0,3.0,4.0,4.0,2.0,4.0
748,1.0,2.0,4.0,3.0,5.0,4.0,4.0
749,2.0,4.0,3.0,5.0,4.0,3.0,3.0
750,3.0,2.0,3.0,3.0,2.0,3.0,3.0
751,3.0,3.0,4.0,3.0,3.0,3.0,3.0
752,2.0,4.0,4.0,4.0,1.0,1.0,4.0
758,4.0,5.0,4.0,4.0,2.0,4.0,4.0
759,3.0,3.0,3.0,4.0,3.0,3.0,3.0
760,3.0,4.0,4.0,4.0,2.0,3.0,2.0
761,2.0,4.0,4.0,4.0,3.0,3.0,4.0
765,2.0,2.0,4.0,5.0,1.0,4.0,3.0
768,3.0,3.0,3.0,3.0,3.0,3.0,3.0
771,5.0,4.0,3.0,4.0,2.0,1.0,3.0
773,2.0,2.0,3.0,4.0,2.0,2.0,2.0
778,3.0,3.0,3.0,3.0,3.0,3.0,3.0
781,4.0,3.0,3.0,5.0,3.0,4.0,3.0
783,1.0,4.0,4.0,4.0,4.0,2.0,4.0
789,4.0,3.0,4.0,3.0,2.0,5.0,3.0
792,1.0,2.0,1.0,4.0,1.0,4.0,5.0
800,3.0,2.0,4.0,3.0,4.0,4.0,3.0
801,5.0,2.0,5.0,5.0,2.0,5.0,4.0
803,4.0,3.0,4.0,3.0,3.0,3.0,3.0
804,2.0,3.0,3.0,3.0,3.0,3.0,3.0
817,5.0,4.0,2.0,5.0,1.0,3.0,4.0
823,3.0,5.0,4.0,3.0,1.0,2.0,3.0
824,5.0,1.0,2.0,4.0,1.0,3.0,5.0
827,2.0,3.0,1.0,4.0,1.0,4.0,2.0
828,2.0,4.0,1.0,3.0,1.0,5.0,4.0
832,3.0,2.0,3.0,5.0,3.0,4.0,4.0
833,2.0,2.0,1.0,5.0,1.0,4.0,5.0
841,4.0,2.0,4.0,4.0,2.0,3.0,3.0
846,3.0,3.0,1.0,5.0,2.0,4.0,4.0
851,5.0,2.0,5.0,5.0,3.0,5.0,3.0
857,2.0,4.0,2.0,5.0,2.0,5.0,5.0
858,2.0,2.0,4.0,5.0,5.0,5.0,3.0
864,3.0,2.0,3.0,5.0,4.0,4.0,4.0
866,2.0,4.0,4.0,3.0,2.0,3.0,3.0
871,4.0,3.0,4.0,4.0,2.0,4.0,3.0
875,4.0,3.0,4.0,5.0,2.0,2.0,4.0
877,4.0,4.0,5.0,4.0,3.0,4.0,4.0
878,2.0,4.0,4.0,3.0,3.0,4.0,3.0
881,4.0,4.0,4.0,5.0,2.0,3.0,4.0
888,2.0,4.0,4.0,3.0,2.0,4.0,3.0
892,3.0,3.0,3.0,3.0,3.0,3.0,3.0
896,3.0,3.0,3.0,3.0,3.0,3.0,3.0
897,2.0,5.0,4.0,4.0,3.0,3.0,2.0
898,3.0,2.0,2.0,4.0,3.0,2.0,4.0
903,3.0,3.0,2.0,3.0,2.0,4.0,3.0
905,4.0,3.0,3.0,5.0,3.0,5.0,3.0
911,4.0,4.0,4.0,5.0,2.0,5.0,4.0
913,2.0,3.0,4.0,3.0,3.0,2.0,4.0
914,1.0,2.0,4.0,4.0,2.0,3.0,3.0
916,3.0,3.0,5.0,4.0,2.0,3.0,3.0
919,3.0,3.0,4.0,4.0,3.0,4.0,3.0
921,2.0,4.0,3.0,3.0,2.0,3.0,3.0
925,5.0,3.0,4.0,5.0,1.0,5.0,4.0
926,3.0,2.0,5.0,5.0,2.0,2.0,4.0
928,3.0,3.0,4.0,5.0,4.0,3.0,4.0
930,4.0,3.0,3.0,3.0,2.0,5.0,3.0
931,2.0,2.0,3.0,5.0,2.0,4.0,3.0
932,2.0,3.0,4.0,3.0,3.0,2.0,4.0
936,3.0,3.0,3.0,5.0,1.0,2.0,3.0
937,3.0,2.0,2.0,4.0,3.0,2.0,1.0
943,3.0,2.0,4.0,4.0,2.0,4.0,2.0
945,3.0,3.0,3.0,4.0,2.0,3.0,4.0
948,3.0,3.0,3.0,3.0,3.0,3.0,3.0
949,3.0,3.0,4.0,4.0,2.0,4.0,3.0
954,1.0,4.0,4.0,5.0,1.0,4.0,3.0
957,2.0,3.0,3.0,3.0,2.0,4.0,3.0
959,2.0,3.0,2.0,3.0,2.0,3.0,4.0
962,4.0,2.0,5.0,4.0,4.0,3.0,3.0
963,4.0,2.0,5.0,4.0,1.0,2.0,3.0
965,3.0,3.0,4.0,3.0,3.0,4.0,2.0
966,1.0,1.0,3.0,5.0,3.0,5.0,3.0
972,4.0,4.0,4.0,4.0,2.0,2.0,3.0
977,3.0,3.0,4.0,4.0,3.0,4.0,4.0
982,4.0,3.0,5.0,4.0,2.0,4.0,2.0
986,3.0,4.0,5.0,3.0,3.0,4.0,3.0
990,3.0,3.0,3.0,3.0,1.0,5.0,3.0
994,2.0,2.0,4.0,4.0,4.0,4.0,3.0
