,Age,Education,Gender,Only.child
393,30.0,3.0,0.0,0.0
395,27.0,3.0,1.0,0.0
403,25.0,3.0,1.0,0.0
404,23.0,1.0,1.0,0.0
420,23.0,1.0,0.0,1.0
423,28.0,0.0,0.0,0.0
424,24.0,3.0,0.0,0.0
448,26.0,3.0,0.0,0.0
453,28.0,3.0,0.0,0.0
462,29.0,3.0,1.0,1.0
473,25.0,3.0,1.0,0.0
474,29.0,3.0,1.0,1.0
479,30.0,3.0,1.0,0.0
487,28.0,3.0,0.0,0.0
497,25.0,0.0,0.0,0.0
504,28.0,3.0,0.0,0.0
521,23.0,3.0,0.0,0.0
526,28.0,3.0,0.0,0.0
528,23.0,3.0,0.0,1.0
531,28.0,1.0,0.0,0.0
538,25.0,3.0,1.0,0.0
540,26.0,0.0,1.0,0.0
543,29.0,3.0,-1.0,0.0
544,25.0,3.0,1.0,0.0
547,27.0,3.0,1.0,0.0
569,23.0,0.0,0.0,0.0
571,23.0,1.0,1.0,0.0
585,28.0,3.0,0.0,0.0
591,28.0,3.0,1.0,0.0
595,23.0,0.0,1.0,0.0
609,25.0,1.0,1.0,0.0
613,23.0,1.0,1.0,0.0
619,23.0,0.0,0.0,1.0
620,27.0,1.0,1.0,0.0
636,25.0,3.0,0.0,0.0
637,24.0,4.0,1.0,0.0
638,29.0,3.0,1.0,0.0
646,23.0,1.0,1.0,1.0
649,23.0,3.0,0.0,0.0
655,24.0,1.0,1.0,0.0
658,24.0,0.0,0.0,1.0
664,25.0,3.0,1.0,0.0
665,28.0,3.0,0.0,0.0
668,23.0,1.0,1.0,0.0
669,27.0,4.0,1.0,1.0
671,23.0,1.0,0.0,0.0
673,28.0,3.0,0.0,0.0
676,25.0,1.0,0.0,0.0
678,28.0,1.0,0.0,0.0
679,23.0,0.0,0.0,0.0
681,25.0,0.0,0.0,0.0
682,28.0,3.0,0.0,0.0
684,30.0,1.0,0.0,1.0
685,28.0,1.0,0.0,0.0
696,23.0,0.0,0.0,1.0
701,26.0,0.0,0.0,0.0
704,23.0,1.0,1.0,0.0
709,23.0,1.0,1.0,0.0
715,25.0,3.0,0.0,1.0
716,29.0,1.0,1.0,0.0
717,29.0,1.0,1.0,0.0
734,24.0,0.0,0.0,0.0
739,23.0,0.0,1.0,0.0
740,23.0,0.0,1.0,1.0
743,26.0,3.0,1.0,0.0
746,25.0,0.0,1.0,0.0
755,26.0,0.0,1.0,1.0
756,26.0,3.0,0.0,0.0
757,25.0,1.0,1.0,0.0
761,25.0,0.0,0.0,1.0
762,23.0,1.0,1.0,0.0
763,24.0,0.0,1.0,1.0
767,25.0,1.0,0.0,0.0
769,26.0,3.0,1.0,0.0
777,25.0,3.0,1.0,0.0
794,24.0,4.0,1.0,0.0
795,23.0,1.0,1.0,0.0
796,30.0,1.0,0.0,1.0
797,27.0,4.0,1.0,0.0
802,30.0,1.0,0.0,0.0
804,27.0,1.0,0.0,0.0
818,23.0,2.0,1.0,1.0
819,24.0,1.0,1.0,0.0
825,29.0,0.0,0.0,0.0
840,23.0,3.0,0.0,0.0
841,24.0,0.0,0.0,0.0
843,24.0,0.0,0.0,1.0
845,30.0,3.0,1.0,0.0
847,23.0,1.0,0.0,0.0
854,30.0,3.0,0.0,0.0
855,27.0,0.0,1.0,1.0
867,23.0,0.0,1.0,0.0
868,25.0,3.0,0.0,0.0
871,25.0,3.0,0.0,0.0
879,26.0,1.0,1.0,1.0
880,23.0,1.0,1.0,1.0
886,23.0,1.0,0.0,1.0
898,23.0,0.0,1.0,0.0
899,28.0,3.0,0.0,0.0
905,24.0,0.0,0.0,0.0
906,23.0,0.0,1.0,0.0
910,28.0,3.0,0.0,0.0
912,23.0,0.0,0.0,0.0
924,23.0,0.0,0.0,0.0
930,27.0,0.0,0.0,1.0
943,24.0,0.0,1.0,1.0
952,26.0,3.0,1.0,0.0
960,24.0,3.0,0.0,0.0
964,23.0,1.0,1.0,1.0
976,23.0,1.0,0.0,1.0
990,30.0,3.0,0.0,0.0
991,29.0,1.0,1.0,0.0
993,30.0,3.0,1.0,0.0
999,28.0,3.0,1.0,0.0
1007,27.0,3.0,1.0,0.0
1009,25.0,0.0,0.0,0.0
