Column1;Celebrities;Countryside..outdoors;Dancing;Foreign.languages;Fun.with.friends;Gardening;History;Internet;Mathematics;PC;Passive.sport;Science.and.technology;Writing
755;30;30;30;50;50;20;30;40;40;40;40;40;20
763;10;40;10;50;50;10;50;40;30;40;50;40;10
766;20;30;10;50;40;10;20;50;30;50;50;50;10
772;10;20;10;30;50;10;30;50;30;40;20;50;10
784;40;40;10;20;50;10;50;50;20;50;30;50;10
834;10;40;10;40;50;10;30;50;20;30;40;30;10
856;10;50;20;30;50;30;40;50;40;50;40;50;10
859;10;40;20;50;50;10;50;40;20;30;50;30;20
861;10;30;10;40;50;10;30;50;10;40;30;50;10
867;20;20;10;40;20;10;50;50;20;50;30;40;10
868;20;40;10;30;30;20;40;50;30;40;40;50;10
872;10;40;10;40;50;20;50;50;50;50;30;50;10
877;30;20;30;30;50;10;20;50;50;50;50;40;10
880;20;10;20;30;50;10;20;20;40;40;50;40;10
887;10;10;10;40;50;10;10;50;40;50;10;50;10
893;10;20;30;40;40;10;30;40;40;40;40;40;10
900;10;20;10;30;50;30;40;50;30;50;30;50;30
904;40;30;20;40;50;30;50;50;50;50;50;50;30
923;30;40;10;50;50;10;20;50;30;50;50;50;10
938;10;20;20;40;50;10;30;50;50;30;50;30;10
940;20;50;30;50;40;10;20;40;30;10;40;30;10
946;10;50;10;40;50;30;40;50;50;50;50;50;10
953;10;50;20;50;50;10;30;40;50;50;30;40;40
964;40;10;10;20;50;10;50;50;10;50;30;50;10
968;10;50;20;30;50;20;50;40;50;30;50;50;10
971;20;10;10;50;50;10;20;50;40;50;20;50;10
972;10;30;10;50;40;10;30;40;30;40;40;40;10
975;20;40;10;50;50;10;30;50;50;20;50;40;10
988;10;40;10;50;40;10;50;50;20;20;40;40;10
993;10;10;10;20;50;10;50;40;50;30;40;50;50
999;30;50;10;50;50;20;30;50;50;50;10;50;40
1005;10;30;30;40;50;20;30;50;20;50;50;20;10
1007;10;50;50;20;50;50;40;50;50;50;10;50;10
;16;36,37037037;16;37,55555556;45,48148148;14,51851852;36;45,7037037;37,03703704;42,59259259;37,18518519;42,74074074;16,59259259
