,Branded.clothing,Entertainment.spending,Finances,Shopping.centres,Spending.on.gadgets,Spending.on.healthy.eating,Spending.on.looks
407,3.0,3.0,4.0,1.0,3.0,3.0,3.0
418,5.0,5.0,2.0,1.0,3.0,4.0,2.0
421,1.0,5.0,3.0,2.0,5.0,4.0,4.0
447,3.0,2.0,2.0,1.0,4.0,3.0,4.0
451,3.0,3.0,1.0,2.0,5.0,5.0,5.0
457,5.0,4.0,5.0,1.0,5.0,3.0,3.0
470,3.0,4.0,4.0,2.0,5.0,5.0,3.0
472,3.0,3.0,1.0,3.0,2.0,4.0,2.0
473,4.0,3.0,3.0,1.0,2.0,4.0,2.0
475,1.0,2.0,3.0,3.0,5.0,5.0,3.0
476,2.0,5.0,1.0,2.0,1.0,3.0,2.0
479,4.0,4.0,3.0,2.0,4.0,4.0,3.0
483,4.0,3.0,4.0,2.0,4.0,3.0,3.0
489,2.0,3.0,2.0,1.0,4.0,5.0,2.0
493,4.0,4.0,2.0,2.0,3.0,4.0,3.0
499,3.0,5.0,2.0,1.0,1.0,2.0,3.0
506,2.0,4.0,2.0,3.0,2.0,2.0,3.0
511,4.0,4.0,3.0,2.0,4.0,5.0,4.0
512,4.0,4.0,4.0,3.0,4.0,4.0,3.0
516,5.0,5.0,5.0,4.0,5.0,1.0,1.0
520,2.0,5.0,1.0,1.0,4.0,5.0,3.0
525,5.0,3.0,4.0,2.0,2.0,2.0,2.0
527,4.0,4.0,4.0,3.0,4.0,4.0,3.0
528,2.0,5.0,4.0,2.0,5.0,5.0,5.0
529,4.0,2.0,3.0,2.0,4.0,5.0,1.0
530,4.0,3.0,3.0,2.0,3.0,2.0,2.0
540,4.0,4.0,1.0,4.0,3.0,3.0,3.0
543,3.0,5.0,2.0,2.0,2.0,4.0,4.0
544,2.0,2.0,3.0,3.0,5.0,3.0,2.0
553,3.0,5.0,3.0,3.0,2.0,3.0,4.0
568,4.0,2.0,2.0,2.0,2.0,4.0,3.0
577,5.0,5.0,1.0,2.0,5.0,4.0,3.0
580,2.0,5.0,1.0,2.0,4.0,2.0,2.0
584,4.0,4.0,3.0,2.0,5.0,5.0,2.0
588,2.0,5.0,2.0,3.0,2.0,1.0,4.0
591,2.0,4.0,2.0,4.0,4.0,4.0,3.0
595,4.0,4.0,2.0,2.0,2.0,5.0,4.0
600,4.0,4.0,2.0,3.0,3.0,3.0,3.0
614,4.0,4.0,2.0,3.0,3.0,4.0,4.0
616,3.0,5.0,1.0,2.0,2.0,5.0,2.0
617,4.0,3.0,3.0,1.0,2.0,1.0,2.0
618,5.0,5.0,3.0,3.0,3.0,3.0,3.0
620,4.0,3.0,2.0,2.0,4.0,5.0,2.0
621,3.0,5.0,1.0,2.0,5.0,2.0,3.0
622,5.0,5.0,3.0,1.0,5.0,5.0,3.0
624,1.0,5.0,1.0,1.0,2.0,3.0,2.0
626,4.0,3.0,4.0,3.0,4.0,4.0,3.0
629,3.0,4.0,3.0,4.0,4.0,3.0,2.0
633,3.0,4.0,2.0,2.0,2.0,2.0,2.0
634,3.0,2.0,2.0,3.0,4.0,3.0,2.0
637,4.0,4.0,1.0,4.0,2.0,4.0,3.0
639,3.0,2.0,2.0,2.0,3.0,4.0,4.0
640,2.0,3.0,3.0,3.0,4.0,3.0,2.0
649,2.0,4.0,3.0,2.0,3.0,4.0,4.0
653,4.0,3.0,4.0,2.0,4.0,5.0,1.0
658,3.0,4.0,3.0,2.0,4.0,5.0,4.0
667,1.0,5.0,2.0,1.0,4.0,5.0,3.0
669,4.0,3.0,3.0,2.0,5.0,2.0,3.0
682,3.0,3.0,3.0,2.0,3.0,5.0,2.0
691,3.0,5.0,3.0,4.0,4.0,2.0,3.0
695,3.0,3.0,3.0,2.0,4.0,4.0,2.0
704,5.0,5.0,1.0,4.0,5.0,2.0,2.0
707,5.0,5.0,1.0,4.0,2.0,2.0,3.0
714,2.0,4.0,1.0,1.0,5.0,3.0,3.0
716,4.0,3.0,3.0,4.0,5.0,2.0,1.0
718,3.0,4.0,3.0,3.0,3.0,3.0,3.0
723,4.0,4.0,3.0,2.0,3.0,3.0,4.0
726,4.0,5.0,1.0,3.0,5.0,4.0,3.0
730,3.0,4.0,3.0,2.0,2.0,3.0,3.0
732,2.0,4.0,4.0,2.0,4.0,2.0,4.0
737,3.0,4.0,2.0,3.0,2.0,4.0,4.0
740,1.0,5.0,4.0,2.0,4.0,4.0,3.0
742,4.0,4.0,3.0,1.0,1.0,2.0,3.0
744,5.0,4.0,1.0,1.0,5.0,5.0,5.0
754,3.0,5.0,2.0,2.0,1.0,2.0,2.0
755,3.0,5.0,1.0,2.0,4.0,2.0,4.0
756,3.0,3.0,3.0,3.0,4.0,5.0,3.0
762,5.0,5.0,1.0,2.0,5.0,3.0,3.0
764,4.0,3.0,3.0,3.0,3.0,4.0,3.0
772,4.0,4.0,4.0,2.0,3.0,4.0,3.0
774,3.0,4.0,3.0,3.0,4.0,5.0,4.0
775,2.0,3.0,2.0,1.0,3.0,4.0,3.0
777,4.0,4.0,4.0,2.0,4.0,4.0,4.0
785,4.0,5.0,2.0,2.0,3.0,3.0,3.0
786,5.0,3.0,2.0,3.0,3.0,3.0,3.0
787,5.0,3.0,3.0,3.0,5.0,2.0,3.0
794,3.0,4.0,4.0,3.0,4.0,3.0,2.0
795,5.0,2.0,5.0,3.0,5.0,5.0,1.0
799,4.0,2.0,3.0,1.0,3.0,4.0,3.0
802,1.0,5.0,1.0,1.0,2.0,2.0,3.0
807,2.0,4.0,3.0,3.0,3.0,3.0,3.0
809,4.0,4.0,2.0,3.0,2.0,4.0,4.0
811,1.0,5.0,1.0,1.0,2.0,3.0,3.0
816,4.0,5.0,3.0,2.0,3.0,5.0,1.0
818,1.0,4.0,3.0,1.0,5.0,3.0,5.0
822,3.0,4.0,1.0,3.0,5.0,4.0,3.0
826,3.0,4.0,2.0,2.0,2.0,4.0,4.0
829,2.0,4.0,4.0,3.0,5.0,3.0,2.0
831,5.0,4.0,2.0,3.0,3.0,4.0,3.0
835,4.0,4.0,2.0,3.0,2.0,3.0,2.0
836,3.0,3.0,3.0,2.0,5.0,4.0,3.0
838,1.0,5.0,2.0,2.0,3.0,5.0,1.0
848,2.0,5.0,1.0,1.0,3.0,5.0,5.0
856,4.0,4.0,3.0,1.0,5.0,4.0,4.0
861,4.0,5.0,2.0,3.0,3.0,4.0,3.0
862,2.0,4.0,1.0,4.0,4.0,4.0,3.0
865,3.0,4.0,2.0,1.0,2.0,3.0,2.0
867,3.0,4.0,1.0,1.0,3.0,4.0,2.0
868,3.0,3.0,4.0,3.0,4.0,4.0,3.0
874,4.0,4.0,3.0,3.0,3.0,4.0,4.0
876,4.0,5.0,1.0,3.0,3.0,5.0,3.0
880,3.0,4.0,2.0,1.0,4.0,2.0,4.0
886,3.0,4.0,2.0,3.0,4.0,5.0,4.0
887,4.0,4.0,2.0,1.0,5.0,1.0,2.0
893,4.0,5.0,3.0,2.0,4.0,3.0,2.0
899,3.0,3.0,3.0,2.0,3.0,5.0,3.0
900,5.0,4.0,2.0,1.0,4.0,5.0,4.0
901,4.0,4.0,3.0,3.0,3.0,4.0,4.0
907,4.0,5.0,2.0,2.0,1.0,4.0,2.0
910,3.0,5.0,4.0,3.0,4.0,4.0,4.0
917,3.0,3.0,1.0,1.0,4.0,4.0,1.0
918,5.0,3.0,2.0,3.0,3.0,3.0,3.0
922,3.0,2.0,4.0,2.0,4.0,3.0,4.0
924,3.0,3.0,2.0,1.0,2.0,4.0,3.0
935,2.0,2.0,2.0,2.0,4.0,4.0,2.0
944,3.0,3.0,2.0,3.0,4.0,3.0,3.0
946,4.0,4.0,1.0,1.0,5.0,3.0,1.0
947,3.0,3.0,1.0,3.0,3.0,3.0,4.0
955,4.0,4.0,3.0,2.0,2.0,4.0,2.0
958,5.0,3.0,3.0,2.0,3.0,3.0,3.0
960,3.0,2.0,2.0,1.0,3.0,3.0,3.0
964,1.0,5.0,4.0,2.0,5.0,2.0,3.0
969,3.0,4.0,3.0,2.0,5.0,4.0,2.0
976,4.0,5.0,3.0,2.0,1.0,4.0,3.0
979,3.0,2.0,2.0,3.0,3.0,5.0,2.0
981,4.0,4.0,1.0,1.0,4.0,4.0,2.0
988,1.0,4.0,3.0,1.0,4.0,2.0,2.0
989,1.0,5.0,1.0,1.0,5.0,5.0,5.0
991,5.0,4.0,1.0,2.0,4.0,1.0,3.0
995,3.0,3.0,3.0,2.0,3.0,5.0,4.0
997,4.0,2.0,3.0,1.0,3.0,3.0,3.0
1004,3.0,3.0,3.0,2.0,4.0,4.0,3.0
1005,3.0,4.0,4.0,3.0,4.0,2.0,4.0
1008,5.0,2.0,1.0,2.0,2.0,5.0,2.0
1009,1.0,5.0,3.0,2.0,3.0,3.0,3.0
