,Age,Education,Gender,Only.child
101,21.0,1.0,0.0,0.0
103,20.0,1.0,0.0,1.0
104,22.0,1.0,1.0,1.0
105,21.0,1.0,1.0,0.0
107,19.0,1.0,1.0,0.0
111,21.0,0.0,1.0,0.0
112,22.0,0.0,0.0,0.0
113,20.0,1.0,0.0,0.0
114,21.0,0.0,0.0,0.0
115,19.0,1.0,0.0,0.0
117,21.0,0.0,0.0,0.0
122,21.0,1.0,1.0,0.0
124,20.0,1.0,0.0,1.0
125,20.0,1.0,1.0,0.0
126,20.0,1.0,0.0,0.0
127,20.0,1.0,0.0,0.0
128,19.0,2.0,0.0,0.0
130,20.0,1.0,0.0,0.0
131,19.0,1.0,0.0,0.0
134,20.0,0.0,0.0,0.0
137,21.0,1.0,1.0,0.0
138,20.0,2.0,-1.0,1.0
139,20.0,1.0,0.0,0.0
140,19.0,0.0,0.0,0.0
141,19.0,0.0,0.0,0.0
142,19.0,2.0,0.0,1.0
143,20.0,2.0,1.0,0.0
144,20.0,1.0,0.0,0.0
145,21.0,1.0,1.0,0.0
146,19.0,1.0,0.0,0.0
147,21.0,1.0,1.0,0.0
149,20.0,1.0,1.0,0.0
150,19.0,0.0,1.0,0.0
151,22.0,1.0,0.0,0.0
152,20.0,1.0,1.0,0.0
154,21.0,0.0,0.0,1.0
156,19.0,1.0,0.0,0.0
160,20.0,1.0,1.0,0.0
161,19.0,1.0,1.0,0.0
162,20.0,1.0,0.0,1.0
163,21.0,0.0,1.0,1.0
164,22.0,1.0,1.0,0.0
165,20.0,1.0,1.0,0.0
166,20.0,0.0,0.0,1.0
167,21.0,1.0,0.0,0.0
168,21.0,2.0,1.0,0.0
169,20.0,1.0,0.0,1.0
170,19.0,1.0,0.0,1.0
171,19.0,1.0,1.0,0.0
172,20.0,1.0,1.0,1.0
173,22.0,1.0,1.0,0.0
174,21.0,1.0,1.0,0.0
177,22.0,0.0,1.0,1.0
179,20.0,3.0,0.0,0.0
180,22.0,1.0,1.0,0.0
181,21.0,1.0,1.0,1.0
183,19.0,1.0,0.0,1.0
184,20.0,0.0,1.0,0.0
185,21.0,0.0,0.0,1.0
186,19.0,1.0,0.0,0.0
188,22.0,0.0,0.0,0.0
189,19.0,0.0,0.0,0.0
195,19.0,1.0,1.0,0.0
196,19.0,1.0,1.0,1.0
197,20.0,1.0,0.0,1.0
198,22.0,0.0,0.0,1.0
199,20.0,1.0,1.0,0.0
200,21.0,1.0,1.0,0.0
201,21.0,1.0,1.0,0.0
204,19.0,0.0,0.0,0.0
206,19.0,1.0,0.0,1.0
208,20.0,0.0,0.0,0.0
209,19.0,1.0,0.0,0.0
210,21.0,1.0,1.0,0.0
212,21.0,1.0,0.0,0.0
213,20.0,1.0,1.0,0.0
214,20.0,1.0,0.0,0.0
218,19.0,2.0,0.0,0.0
224,20.0,1.0,0.0,1.0
225,20.0,1.0,1.0,0.0
226,20.0,1.0,1.0,0.0
228,19.0,1.0,0.0,0.0
229,20.0,1.0,0.0,0.0
230,21.0,1.0,1.0,0.0
231,19.0,1.0,0.0,0.0
232,19.0,1.0,0.0,1.0
233,19.0,1.0,0.0,0.0
237,19.0,1.0,0.0,1.0
239,19.0,2.0,0.0,0.0
240,21.0,1.0,0.0,1.0
241,21.0,0.0,1.0,0.0
243,21.0,1.0,0.0,1.0
245,20.0,1.0,0.0,1.0
246,19.0,2.0,0.0,0.0
248,22.0,0.0,0.0,1.0
249,19.0,1.0,0.0,0.0
250,19.0,1.0,0.0,0.0
251,20.0,1.0,0.0,1.0
252,19.0,1.0,0.0,0.0
253,20.0,1.0,0.0,1.0
256,20.0,1.0,0.0,0.0
257,20.0,1.0,0.0,0.0
258,19.0,1.0,1.0,0.0
259,20.0,1.0,0.0,1.0
260,19.0,1.0,1.0,0.0
261,19.0,1.0,1.0,1.0
263,19.0,1.0,0.0,0.0
265,19.0,0.0,0.0,0.0
267,19.0,1.0,0.0,0.0
268,21.0,3.0,0.0,0.0
269,19.0,0.0,0.0,0.0
273,19.0,1.0,0.0,0.0
274,19.0,0.0,0.0,0.0
275,22.0,1.0,0.0,1.0
276,20.0,0.0,0.0,0.0
277,21.0,0.0,0.0,0.0
278,19.0,1.0,1.0,1.0
279,19.0,1.0,1.0,0.0
280,20.0,0.0,0.0,0.0
282,19.0,1.0,1.0,0.0
283,20.0,1.0,0.0,0.0
284,22.0,1.0,1.0,0.0
285,20.0,1.0,1.0,0.0
286,20.0,1.0,0.0,0.0
288,19.0,1.0,0.0,1.0
289,22.0,1.0,1.0,0.0
290,19.0,0.0,1.0,1.0
291,20.0,1.0,0.0,0.0
292,20.0,1.0,1.0,0.0
293,21.0,1.0,0.0,0.0
295,19.0,1.0,0.0,0.0
298,19.0,1.0,1.0,1.0
299,19.0,1.0,0.0,0.0
300,22.0,0.0,0.0,0.0
302,20.0,0.0,1.0,0.0
303,19.0,1.0,0.0,0.0
306,20.0,0.0,0.0,1.0
308,19.0,1.0,0.0,0.0
309,19.0,1.0,0.0,1.0
311,19.0,0.0,1.0,0.0
314,20.0,1.0,0.0,0.0
315,20.0,1.0,1.0,0.0
316,20.0,1.0,1.0,0.0
317,20.0,1.0,0.0,1.0
318,19.0,1.0,1.0,0.0
321,20.0,1.0,1.0,0.0
324,20.0,1.0,1.0,0.0
326,19.0,1.0,1.0,0.0
327,19.0,0.0,0.0,1.0
328,20.0,1.0,0.0,0.0
331,22.0,1.0,0.0,1.0
333,22.0,1.0,0.0,0.0
343,20.0,1.0,0.0,1.0
351,20.0,0.0,1.0,0.0
353,19.0,1.0,1.0,0.0
355,20.0,1.0,0.0,0.0
356,19.0,1.0,1.0,0.0
358,21.0,1.0,1.0,1.0
359,19.0,0.0,1.0,0.0
360,20.0,1.0,0.0,0.0
362,19.0,0.0,0.0,0.0
363,19.0,0.0,0.0,0.0
364,19.0,0.0,0.0,0.0
365,20.0,0.0,1.0,0.0
367,19.0,0.0,1.0,0.0
368,20.0,1.0,1.0,0.0
371,19.0,1.0,0.0,0.0
372,19.0,1.0,0.0,0.0
373,20.0,1.0,1.0,0.0
374,20.0,0.0,1.0,1.0
375,21.0,1.0,0.0,0.0
376,20.0,1.0,0.0,0.0
377,20.0,1.0,0.0,0.0
379,20.0,1.0,0.0,0.0
381,20.0,1.0,0.0,0.0
382,21.0,1.0,0.0,0.0
383,21.0,1.0,0.0,1.0
384,22.0,0.0,1.0,0.0
385,19.0,1.0,0.0,0.0
387,19.0,1.0,0.0,1.0
390,21.0,1.0,0.0,1.0
391,20.0,1.0,1.0,0.0
394,21.0,1.0,1.0,0.0
396,21.0,0.0,1.0,0.0
398,21.0,0.0,0.0,0.0
399,20.0,0.0,0.0,0.0
400,22.0,1.0,0.0,0.0
401,19.0,1.0,1.0,0.0
402,20.0,1.0,0.0,0.0
405,20.0,0.0,0.0,0.0
406,20.0,1.0,0.0,0.0
407,21.0,1.0,0.0,0.0
408,19.0,1.0,0.0,0.0
409,21.0,0.0,0.0,0.0
411,20.0,1.0,1.0,0.0
413,21.0,1.0,0.0,0.0
414,21.0,1.0,1.0,0.0
416,19.0,1.0,0.0,0.0
417,20.0,1.0,0.0,0.0
421,20.0,1.0,0.0,0.0
425,19.0,1.0,0.0,1.0
426,21.0,1.0,0.0,0.0
427,22.0,3.0,0.0,0.0
428,19.0,1.0,1.0,0.0
430,21.0,1.0,0.0,1.0
432,19.0,1.0,1.0,0.0
433,20.0,1.0,1.0,0.0
434,19.0,1.0,0.0,0.0
437,19.0,1.0,1.0,0.0
440,19.0,1.0,1.0,0.0
441,19.0,1.0,0.0,0.0
442,19.0,0.0,0.0,0.0
445,19.0,1.0,0.0,0.0
446,20.0,1.0,0.0,1.0
447,19.0,1.0,1.0,0.0
449,19.0,1.0,0.0,0.0
450,19.0,1.0,0.0,1.0
451,22.0,0.0,1.0,0.0
452,20.0,0.0,1.0,0.0
454,19.0,1.0,0.0,1.0
455,21.0,1.0,0.0,1.0
456,19.0,1.0,0.0,0.0
457,22.0,1.0,1.0,0.0
458,19.0,1.0,1.0,0.0
460,19.0,1.0,0.0,1.0
461,22.0,1.0,1.0,0.0
463,20.0,0.0,0.0,0.0
465,22.0,1.0,0.0,0.0
467,19.0,0.0,1.0,1.0
468,20.0,1.0,0.0,0.0
470,22.0,1.0,1.0,1.0
471,19.0,1.0,0.0,0.0
472,20.0,1.0,1.0,0.0
475,19.0,1.0,1.0,0.0
477,20.0,1.0,0.0,0.0
480,20.0,1.0,0.0,0.0
481,21.0,1.0,0.0,0.0
482,22.0,0.0,1.0,0.0
483,22.0,1.0,1.0,0.0
484,20.0,0.0,0.0,1.0
485,20.0,1.0,0.0,0.0
486,19.0,1.0,0.0,0.0
488,19.0,1.0,0.0,0.0
489,22.0,1.0,1.0,0.0
490,20.0,0.0,0.0,1.0
492,19.0,1.0,0.0,0.0
493,20.0,1.0,0.0,0.0
494,21.0,0.0,1.0,0.0
495,19.0,1.0,0.0,0.0
496,20.0,1.0,0.0,0.0
498,20.0,1.0,0.0,0.0
499,19.0,1.0,0.0,0.0
500,22.0,1.0,1.0,0.0
501,19.0,1.0,0.0,0.0
502,21.0,1.0,0.0,0.0
503,22.0,3.0,1.0,0.0
505,21.0,0.0,0.0,0.0
506,20.0,1.0,1.0,0.0
507,19.0,1.0,1.0,0.0
508,21.0,0.0,0.0,0.0
509,20.0,1.0,1.0,1.0
511,22.0,0.0,1.0,1.0
512,19.0,1.0,1.0,0.0
513,22.0,0.0,0.0,1.0
514,20.0,1.0,1.0,1.0
515,22.0,0.0,1.0,1.0
516,19.0,1.0,1.0,0.0
517,22.0,1.0,1.0,0.0
520,19.0,2.0,1.0,0.0
522,20.0,1.0,0.0,1.0
524,19.0,0.0,1.0,0.0
525,19.0,1.0,0.0,0.0
527,21.0,0.0,1.0,0.0
529,20.0,1.0,1.0,0.0
530,20.0,1.0,1.0,0.0
532,22.0,1.0,1.0,0.0
533,19.0,1.0,0.0,1.0
534,21.0,0.0,1.0,0.0
535,21.0,1.0,0.0,0.0
537,19.0,0.0,0.0,0.0
539,20.0,1.0,0.0,0.0
541,21.0,1.0,1.0,1.0
542,20.0,1.0,0.0,0.0
545,21.0,3.0,1.0,1.0
546,20.0,1.0,1.0,0.0
548,21.0,1.0,1.0,0.0
549,20.0,1.0,0.0,0.0
550,20.0,0.0,0.0,0.0
553,19.0,1.0,0.0,0.0
555,19.0,0.0,1.0,1.0
556,21.0,0.0,0.0,1.0
558,20.0,0.0,0.0,0.0
559,19.0,2.0,0.0,0.0
560,20.0,1.0,0.0,1.0
562,20.0,1.0,1.0,0.0
564,20.0,1.0,1.0,0.0
565,20.0,0.0,1.0,0.0
567,19.0,1.0,0.0,0.0
568,19.0,1.0,1.0,0.0
570,20.0,0.0,0.0,0.0
573,22.0,0.0,0.0,0.0
575,20.0,1.0,0.0,0.0
576,21.0,1.0,0.0,0.0
577,21.0,1.0,1.0,0.0
578,19.0,1.0,0.0,0.0
579,20.0,1.0,0.0,1.0
580,19.0,0.0,1.0,1.0
581,21.0,1.0,1.0,1.0
582,22.0,1.0,0.0,0.0
583,22.0,0.0,1.0,0.0
584,22.0,0.0,1.0,0.0
586,21.0,1.0,1.0,0.0
587,21.0,0.0,1.0,0.0
589,21.0,1.0,0.0,1.0
592,20.0,0.0,0.0,0.0
593,19.0,1.0,0.0,1.0
594,21.0,1.0,0.0,0.0
597,20.0,2.0,1.0,-1.0
598,19.0,1.0,1.0,0.0
599,19.0,1.0,1.0,0.0
600,19.0,1.0,1.0,0.0
602,19.0,1.0,0.0,0.0
603,22.0,1.0,1.0,0.0
604,21.0,1.0,0.0,0.0
605,21.0,1.0,0.0,0.0
606,21.0,0.0,1.0,0.0
607,22.0,1.0,1.0,0.0
608,19.0,1.0,0.0,0.0
611,20.0,1.0,1.0,0.0
615,22.0,1.0,0.0,0.0
616,20.0,1.0,1.0,1.0
617,19.0,1.0,1.0,1.0
618,19.0,1.0,0.0,0.0
621,20.0,1.0,1.0,0.0
622,20.0,1.0,-1.0,0.0
624,21.0,1.0,1.0,0.0
625,21.0,1.0,0.0,0.0
626,19.0,1.0,0.0,1.0
627,22.0,1.0,0.0,0.0
628,20.0,0.0,0.0,0.0
629,19.0,1.0,1.0,1.0
630,20.0,0.0,0.0,1.0
631,19.0,1.0,0.0,0.0
634,21.0,1.0,1.0,0.0
635,19.0,1.0,0.0,0.0
639,21.0,1.0,0.0,0.0
641,21.0,0.0,0.0,0.0
643,22.0,1.0,1.0,1.0
647,22.0,1.0,1.0,0.0
648,21.0,1.0,0.0,1.0
651,20.0,1.0,1.0,0.0
652,22.0,1.0,1.0,0.0
653,21.0,1.0,1.0,1.0
654,22.0,0.0,0.0,1.0
656,19.0,1.0,0.0,0.0
659,22.0,1.0,1.0,0.0
660,20.0,1.0,1.0,0.0
661,20.0,0.0,0.0,0.0
662,19.0,1.0,0.0,1.0
663,21.0,1.0,0.0,0.0
666,20.0,1.0,0.0,0.0
667,20.0,1.0,0.0,0.0
670,21.0,0.0,1.0,1.0
672,22.0,0.0,0.0,0.0
674,22.0,1.0,0.0,0.0
677,20.0,0.0,0.0,0.0
680,21.0,1.0,0.0,1.0
683,19.0,1.0,1.0,0.0
686,19.0,1.0,0.0,1.0
687,21.0,0.0,1.0,1.0
688,19.0,0.0,1.0,0.0
693,21.0,0.0,1.0,1.0
695,21.0,0.0,1.0,0.0
698,20.0,1.0,0.0,0.0
699,19.0,1.0,0.0,1.0
700,20.0,1.0,0.0,0.0
702,21.0,0.0,0.0,0.0
703,19.0,1.0,1.0,0.0
705,21.0,1.0,0.0,0.0
706,22.0,0.0,0.0,0.0
708,21.0,1.0,0.0,0.0
711,20.0,1.0,0.0,0.0
712,22.0,1.0,0.0,0.0
713,20.0,1.0,0.0,0.0
714,19.0,0.0,0.0,0.0
720,19.0,1.0,1.0,0.0
722,20.0,0.0,0.0,0.0
723,21.0,0.0,0.0,1.0
725,19.0,2.0,0.0,0.0
726,19.0,1.0,1.0,1.0
727,20.0,1.0,1.0,0.0
728,19.0,1.0,1.0,1.0
733,19.0,1.0,0.0,1.0
735,19.0,1.0,0.0,0.0
736,20.0,3.0,0.0,0.0
737,20.0,0.0,0.0,0.0
738,21.0,0.0,0.0,1.0
744,22.0,0.0,1.0,1.0
745,22.0,1.0,1.0,0.0
747,21.0,1.0,0.0,0.0
751,22.0,0.0,0.0,0.0
752,21.0,1.0,0.0,0.0
753,21.0,0.0,0.0,0.0
754,19.0,1.0,0.0,0.0
758,19.0,0.0,0.0,0.0
759,20.0,0.0,1.0,0.0
764,20.0,0.0,1.0,0.0
765,19.0,0.0,0.0,0.0
768,22.0,3.0,1.0,0.0
770,19.0,1.0,0.0,1.0
773,20.0,1.0,0.0,0.0
775,20.0,1.0,0.0,1.0
776,19.0,0.0,0.0,0.0
778,19.0,1.0,1.0,0.0
782,20.0,1.0,0.0,0.0
784,21.0,1.0,1.0,0.0
785,19.0,1.0,1.0,0.0
786,19.0,0.0,1.0,1.0
787,19.0,1.0,1.0,1.0
790,19.0,0.0,1.0,0.0
791,20.0,1.0,0.0,1.0
792,19.0,1.0,0.0,0.0
793,21.0,3.0,1.0,0.0
798,19.0,1.0,1.0,0.0
803,19.0,1.0,0.0,1.0
805,21.0,1.0,0.0,0.0
807,20.0,1.0,1.0,0.0
808,20.0,1.0,1.0,1.0
809,20.0,0.0,1.0,0.0
811,20.0,0.0,1.0,0.0
812,20.0,1.0,1.0,0.0
814,19.0,1.0,1.0,0.0
815,20.0,1.0,0.0,1.0
816,20.0,1.0,1.0,0.0
817,21.0,1.0,1.0,1.0
823,19.0,1.0,0.0,0.0
824,21.0,1.0,1.0,1.0
826,21.0,0.0,0.0,0.0
827,20.0,1.0,0.0,0.0
828,20.0,1.0,0.0,0.0
829,19.0,0.0,1.0,0.0
830,20.0,0.0,0.0,1.0
831,21.0,1.0,0.0,0.0
833,20.0,1.0,0.0,1.0
834,19.0,1.0,1.0,1.0
835,21.0,1.0,1.0,0.0
836,19.0,1.0,1.0,1.0
837,19.0,1.0,1.0,1.0
838,20.0,1.0,1.0,0.0
839,21.0,0.0,0.0,1.0
842,19.0,1.0,1.0,0.0
844,20.0,1.0,0.0,0.0
846,20.0,1.0,0.0,1.0
848,19.0,1.0,0.0,0.0
849,19.0,0.0,1.0,0.0
850,22.0,0.0,0.0,0.0
852,20.0,0.0,1.0,0.0
853,19.0,1.0,1.0,0.0
856,19.0,0.0,1.0,0.0
858,20.0,1.0,1.0,0.0
859,20.0,1.0,1.0,0.0
860,20.0,1.0,1.0,0.0
861,20.0,1.0,1.0,0.0
863,21.0,0.0,1.0,0.0
864,21.0,1.0,1.0,0.0
865,20.0,1.0,1.0,0.0
872,21.0,0.0,1.0,0.0
873,20.0,1.0,1.0,0.0
874,21.0,1.0,1.0,1.0
876,20.0,1.0,0.0,0.0
877,19.0,1.0,1.0,1.0
878,22.0,1.0,1.0,0.0
884,19.0,1.0,0.0,0.0
885,19.0,0.0,0.0,0.0
887,21.0,1.0,1.0,0.0
888,19.0,1.0,1.0,1.0
889,20.0,0.0,0.0,0.0
890,22.0,0.0,0.0,0.0
891,20.0,1.0,1.0,0.0
892,21.0,1.0,1.0,0.0
893,19.0,1.0,1.0,1.0
895,19.0,1.0,0.0,0.0
897,22.0,0.0,1.0,0.0
900,20.0,1.0,1.0,0.0
901,21.0,1.0,1.0,0.0
902,22.0,1.0,0.0,0.0
903,20.0,3.0,1.0,0.0
904,19.0,0.0,1.0,0.0
907,21.0,1.0,0.0,0.0
908,22.0,1.0,0.0,0.0
913,22.0,1.0,0.0,1.0
914,21.0,1.0,0.0,1.0
915,20.0,1.0,0.0,0.0
917,21.0,1.0,1.0,0.0
918,20.0,0.0,1.0,0.0
919,21.0,1.0,0.0,0.0
920,21.0,1.0,0.0,0.0
921,20.0,1.0,0.0,0.0
923,20.0,1.0,0.0,0.0
925,19.0,1.0,0.0,1.0
926,20.0,1.0,0.0,0.0
927,22.0,1.0,1.0,0.0
928,19.0,1.0,0.0,0.0
929,19.0,1.0,0.0,1.0
933,20.0,1.0,0.0,0.0
937,21.0,1.0,0.0,1.0
939,19.0,1.0,0.0,1.0
940,20.0,1.0,0.0,1.0
944,22.0,1.0,0.0,0.0
945,19.0,1.0,0.0,0.0
946,22.0,1.0,1.0,0.0
947,22.0,1.0,1.0,1.0
953,19.0,1.0,1.0,1.0
954,20.0,1.0,0.0,0.0
955,20.0,1.0,0.0,0.0
956,19.0,1.0,0.0,0.0
957,20.0,1.0,1.0,1.0
958,20.0,1.0,1.0,0.0
959,22.0,0.0,0.0,0.0
961,20.0,3.0,0.0,0.0
962,20.0,1.0,1.0,0.0
963,21.0,1.0,0.0,0.0
965,21.0,0.0,1.0,1.0
967,19.0,0.0,0.0,0.0
969,19.0,1.0,1.0,0.0
970,19.0,0.0,1.0,0.0
971,22.0,3.0,1.0,0.0
973,19.0,1.0,0.0,1.0
974,20.0,1.0,0.0,0.0
975,21.0,1.0,0.0,1.0
977,19.0,1.0,0.0,1.0
978,19.0,1.0,1.0,0.0
979,21.0,0.0,0.0,0.0
980,19.0,1.0,1.0,1.0
982,19.0,1.0,0.0,0.0
984,22.0,1.0,0.0,0.0
985,21.0,1.0,0.0,1.0
986,20.0,1.0,0.0,0.0
987,19.0,1.0,0.0,0.0
988,20.0,1.0,1.0,0.0
989,19.0,1.0,1.0,1.0
992,21.0,1.0,1.0,1.0
994,21.0,1.0,0.0,1.0
995,20.0,1.0,0.0,1.0
997,20.0,1.0,1.0,1.0
998,19.0,1.0,0.0,0.0
1000,19.0,1.0,1.0,0.0
1003,22.0,1.0,1.0,0.0
1004,20.0,1.0,0.0,0.0
1005,22.0,1.0,1.0,0.0
1006,20.0,1.0,0.0,0.0
1010,21.0,1.0,1.0,0.0
