,Branded.clothing,Entertainment.spending,Finances,Shopping.centres,Spending.on.gadgets,Spending.on.healthy.eating,Spending.on.looks
731,1.0,3.0,3.0,1.0,2.0,4.0,3.0
733,2.0,2.0,3.0,2.0,2.0,4.0,2.0
735,1.0,1.0,5.0,2.0,1.0,4.0,1.0
736,2.0,1.0,5.0,2.0,1.0,5.0,2.0
745,2.0,2.0,2.0,2.0,3.0,1.0,2.0
746,1.0,2.0,3.0,3.0,4.0,4.0,2.0
766,4.0,3.0,4.0,2.0,2.0,4.0,2.0
782,1.0,1.0,2.0,1.0,1.0,4.0,2.0
791,1.0,1.0,4.0,2.0,2.0,2.0,1.0
805,1.0,1.0,1.0,1.0,1.0,1.0,1.0
812,3.0,3.0,4.0,2.0,2.0,4.0,2.0
819,1.0,3.0,2.0,2.0,3.0,4.0,3.0
820,2.0,2.0,4.0,2.0,4.0,5.0,2.0
821,1.0,4.0,2.0,2.0,1.0,5.0,3.0
825,1.0,3.0,4.0,1.0,3.0,3.0,3.0
830,3.0,1.0,3.0,2.0,4.0,5.0,2.0
843,1.0,1.0,3.0,3.0,1.0,1.0,1.0
850,1.0,4.0,2.0,2.0,2.0,1.0,2.0
854,1.0,1.0,4.0,2.0,2.0,2.0,3.0
859,3.0,2.0,4.0,1.0,2.0,4.0,2.0
869,3.0,4.0,4.0,2.0,1.0,5.0,2.0
873,1.0,4.0,3.0,3.0,2.0,3.0,3.0
884,2.0,3.0,4.0,2.0,4.0,2.0,2.0
890,4.0,1.0,1.0,1.0,1.0,5.0,2.0
894,3.0,2.0,4.0,2.0,3.0,4.0,3.0
902,1.0,2.0,4.0,4.0,1.0,4.0,1.0
904,1.0,3.0,4.0,1.0,1.0,4.0,1.0
909,4.0,3.0,3.0,2.0,1.0,5.0,2.0
912,3.0,2.0,4.0,2.0,1.0,4.0,3.0
915,1.0,3.0,1.0,1.0,2.0,4.0,2.0
927,3.0,2.0,4.0,2.0,2.0,4.0,3.0
929,1.0,1.0,4.0,2.0,2.0,1.0,2.0
938,2.0,4.0,5.0,2.0,3.0,5.0,2.0
940,3.0,3.0,3.0,1.0,2.0,5.0,2.0
950,3.0,1.0,3.0,1.0,2.0,3.0,2.0
953,1.0,1.0,5.0,4.0,1.0,4.0,1.0
956,1.0,3.0,3.0,3.0,3.0,3.0,3.0
961,1.0,2.0,3.0,2.0,2.0,3.0,2.0
968,1.0,2.0,4.0,2.0,3.0,3.0,2.0
970,1.0,4.0,2.0,3.0,3.0,2.0,1.0
973,2.0,2.0,3.0,3.0,4.0,4.0,2.0
974,1.0,2.0,4.0,2.0,4.0,4.0,2.0
975,4.0,4.0,3.0,1.0,1.0,3.0,1.0
985,2.0,3.0,4.0,1.0,4.0,2.0,1.0
987,1.0,3.0,1.0,1.0,1.0,2.0,1.0
992,3.0,1.0,3.0,2.0,3.0,2.0,2.0
993,1.0,5.0,1.0,1.0,1.0,4.0,1.0
996,1.0,3.0,4.0,3.0,2.0,4.0,2.0
998,1.0,5.0,3.0,1.0,2.0,2.0,2.0
999,1.0,4.0,4.0,2.0,2.0,5.0,3.0
1000,2.0,3.0,3.0,1.0,3.0,3.0,2.0
1003,1.0,4.0,4.0,1.0,3.0,3.0,1.0
1007,1.0,1.0,3.0,1.0,5.0,3.0,1.0
1010,2.0,3.0,5.0,4.0,1.0,5.0,1.0
