,Ageing,Dangerous.dogs,Darkness,Fear.of.public.speaking,Flying,Heights,Rats,Snakes,Spiders,Storm
513,1.0,5.0,1.0,1.0,5.0,3.0,5.0,5.0,5.0,5.0
515,3.0,5.0,3.0,1.0,2.0,3.0,4.0,4.0,4.0,3.0
517,5.0,1.0,5.0,3.0,5.0,5.0,1.0,1.0,5.0,5.0
521,3.0,4.0,5.0,1.0,4.0,2.0,4.0,5.0,5.0,2.0
535,3.0,5.0,2.0,4.0,3.0,4.0,5.0,5.0,5.0,2.0
539,2.0,5.0,3.0,2.0,4.0,3.0,5.0,5.0,5.0,3.0
540,4.0,4.0,2.0,1.0,1.0,4.0,5.0,5.0,4.0,2.0
541,4.0,3.0,3.0,3.0,3.0,3.0,2.0,5.0,3.0,3.0
543,2.0,3.0,4.0,4.0,2.0,5.0,4.0,4.0,4.0,2.0
544,1.0,4.0,2.0,1.0,4.0,4.0,3.0,5.0,4.0,3.0
550,5.0,1.0,5.0,1.0,3.0,2.0,5.0,5.0,2.0,3.0
552,2.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,3.0
554,5.0,4.0,4.0,3.0,1.0,3.0,4.0,4.0,5.0,4.0
557,4.0,5.0,1.0,4.0,2.0,2.0,5.0,5.0,5.0,1.0
558,5.0,4.0,5.0,5.0,1.0,5.0,4.0,5.0,5.0,3.0
561,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,1.0,5.0
569,4.0,5.0,3.0,3.0,2.0,3.0,4.0,5.0,3.0,5.0
578,2.0,5.0,4.0,2.0,3.0,3.0,5.0,5.0,5.0,3.0
582,4.0,5.0,3.0,4.0,2.0,3.0,3.0,5.0,5.0,2.0
586,4.0,5.0,3.0,3.0,5.0,3.0,3.0,5.0,3.0,4.0
602,2.0,5.0,4.0,2.0,3.0,3.0,4.0,5.0,3.0,4.0
604,4.0,2.0,4.0,2.0,2.0,4.0,4.0,4.0,3.0,3.0
605,3.0,5.0,5.0,5.0,2.0,4.0,3.0,5.0,5.0,3.0
612,2.0,3.0,4.0,3.0,1.0,3.0,3.0,4.0,4.0,4.0
614,3.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,2.0
626,1.0,4.0,3.0,1.0,1.0,3.0,5.0,5.0,5.0,3.0
628,5.0,5.0,3.0,5.0,4.0,3.0,4.0,4.0,3.0,4.0
631,1.0,5.0,3.0,5.0,3.0,5.0,4.0,4.0,5.0,3.0
641,3.0,5.0,1.0,3.0,1.0,2.0,5.0,5.0,5.0,3.0
648,1.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,3.0,3.0
649,4.0,5.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0
655,3.0,3.0,2.0,2.0,2.0,3.0,5.0,5.0,4.0,2.0
656,3.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0
657,3.0,5.0,2.0,3.0,5.0,2.0,5.0,5.0,5.0,2.0
658,4.0,3.0,5.0,2.0,1.0,3.0,5.0,5.0,4.0,4.0
661,5.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,2.0,3.0
663,1.0,4.0,3.0,5.0,1.0,3.0,3.0,5.0,4.0,3.0
665,4.0,4.0,5.0,2.0,1.0,4.0,5.0,5.0,2.0,3.0
672,5.0,4.0,5.0,3.0,2.0,5.0,5.0,3.0,2.0,2.0
673,5.0,5.0,2.0,4.0,1.0,1.0,3.0,5.0,5.0,3.0
676,2.0,5.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,5.0
684,3.0,5.0,2.0,3.0,5.0,3.0,5.0,4.0,3.0,4.0
685,1.0,3.0,4.0,4.0,4.0,3.0,5.0,3.0,3.0,4.0
698,1.0,4.0,3.0,5.0,1.0,2.0,5.0,5.0,5.0,3.0
699,5.0,5.0,3.0,4.0,5.0,3.0,4.0,4.0,2.0,3.0
701,3.0,5.0,3.0,1.0,1.0,3.0,5.0,5.0,2.0,3.0
712,1.0,4.0,4.0,3.0,3.0,5.0,4.0,5.0,2.0,2.0
714,4.0,3.0,3.0,1.0,1.0,4.0,3.0,3.0,5.0,4.0
715,1.0,4.0,4.0,5.0,1.0,4.0,4.0,4.0,4.0,4.0
723,2.0,4.0,5.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0
724,5.0,5.0,4.0,3.0,2.0,5.0,4.0,5.0,5.0,3.0
728,2.0,3.0,1.0,3.0,3.0,5.0,5.0,5.0,3.0,1.0
736,4.0,5.0,2.0,3.0,5.0,4.0,3.0,5.0,3.0,3.0
738,5.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0
747,5.0,5.0,3.0,3.0,4.0,3.0,5.0,5.0,5.0,3.0
753,4.0,5.0,4.0,4.0,2.0,1.0,5.0,4.0,2.0,5.0
758,2.0,4.0,5.0,4.0,1.0,2.0,4.0,4.0,2.0,2.0
764,1.0,5.0,1.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0
765,4.0,5.0,2.0,4.0,1.0,3.0,5.0,5.0,5.0,2.0
767,3.0,3.0,4.0,2.0,4.0,4.0,5.0,5.0,4.0,4.0
768,2.0,3.0,5.0,4.0,2.0,3.0,2.0,4.0,3.0,5.0
773,4.0,4.0,2.0,4.0,3.0,2.0,5.0,5.0,4.0,2.0
779,3.0,4.0,4.0,5.0,4.0,3.0,3.0,5.0,5.0,3.0
790,5.0,5.0,5.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0
794,1.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,1.0,3.0
797,4.0,3.0,4.0,4.0,5.0,5.0,3.0,5.0,5.0,3.0
806,5.0,5.0,3.0,4.0,4.0,3.0,5.0,5.0,5.0,4.0
811,5.0,4.0,4.0,1.0,1.0,5.0,4.0,5.0,5.0,3.0
815,4.0,5.0,5.0,4.0,3.0,4.0,5.0,3.0,5.0,4.0
822,3.0,3.0,3.0,4.0,4.0,5.0,4.0,5.0,3.0,2.0
842,3.0,3.0,1.0,2.0,5.0,3.0,4.0,4.0,4.0,3.0
843,1.0,5.0,5.0,3.0,1.0,3.0,5.0,5.0,5.0,5.0
846,5.0,5.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0,5.0
847,4.0,5.0,2.0,3.0,5.0,4.0,5.0,5.0,5.0,2.0
885,5.0,5.0,4.0,5.0,1.0,1.0,5.0,5.0,5.0,4.0
895,5.0,3.0,2.0,4.0,4.0,2.0,4.0,5.0,3.0,2.0
907,5.0,3.0,2.0,5.0,4.0,2.0,5.0,5.0,3.0,1.0
908,3.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0
910,5.0,5.0,1.0,4.0,5.0,1.0,4.0,4.0,2.0,4.0
930,1.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0,2.0,5.0
931,3.0,5.0,3.0,4.0,3.0,4.0,5.0,5.0,5.0,3.0
933,1.0,1.0,5.0,3.0,4.0,5.0,1.0,2.0,5.0,5.0
937,2.0,3.0,4.0,2.0,3.0,3.0,4.0,4.0,5.0,2.0
938,4.0,3.0,4.0,4.0,1.0,2.0,4.0,5.0,3.0,3.0
939,5.0,5.0,4.0,3.0,3.0,5.0,4.0,2.0,3.0,2.0
941,5.0,3.0,4.0,4.0,1.0,5.0,1.0,5.0,3.0,3.0
949,3.0,4.0,1.0,2.0,4.0,2.0,4.0,4.0,4.0,3.0
954,4.0,4.0,4.0,4.0,3.0,4.0,1.0,5.0,5.0,4.0
955,5.0,2.0,3.0,2.0,4.0,3.0,2.0,4.0,3.0,5.0
959,2.0,4.0,4.0,3.0,3.0,3.0,5.0,5.0,5.0,2.0
966,1.0,5.0,5.0,5.0,5.0,1.0,3.0,5.0,5.0,3.0
970,1.0,2.0,5.0,3.0,1.0,4.0,4.0,3.0,2.0,4.0
972,4.0,5.0,3.0,4.0,3.0,3.0,1.0,4.0,3.0,4.0
973,3.0,4.0,5.0,3.0,1.0,3.0,1.0,5.0,5.0,4.0
984,2.0,5.0,3.0,2.0,4.0,3.0,5.0,5.0,5.0,1.0
992,1.0,3.0,1.0,3.0,5.0,5.0,3.0,5.0,3.0,3.0
998,2.0,3.0,2.0,4.0,5.0,1.0,4.0,5.0,4.0,3.0
1009,3.0,5.0,2.0,5.0,2.0,5.0,3.0,3.0,3.0,3.0
