,Action,Alternative,Animated,Classical.music,Comedy,Country,Dance,Documentary,Fantasy.Fairy.tales,Folk,Hiphop..Rap,Horror,Latino,Metal.or.Hardrock,Movies,Music,Musical,Opera,Pop,Punk,Reggae..Ska,Rock,Rock.n.roll,Romantic,Sci.fi,Slow.songs.or.fast.songs,Swing..Jazz,Techno..Trance,Thriller,War,Western
55,5.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,4.0,5.0,5.0,3.0,4.0,4.0,5.0,3.0,2.0
56,3.0,4.0,4.0,4.0,3.0,2.0,4.0,3.0,4.0,2.0,4.0,2.0,4.0,3.0,5.0,5.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,5.0,4.0,3.0,2.0
62,4.0,3.0,4.0,4.0,5.0,2.0,5.0,2.0,4.0,1.0,3.0,3.0,4.0,1.0,5.0,5.0,3.0,3.0,4.0,2.0,2.0,4.0,3.0,5.0,5.0,3.0,3.0,4.0,4.0,3.0,2.0
63,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,1.0,5.0,3.0,5.0,5.0,5.0,5.0,1.0
67,3.0,2.0,5.0,2.0,5.0,2.0,4.0,4.0,5.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,1.0,5.0,3.0,3.0,3.0,2.0,3.0,5.0,3.0,3.0,5.0,4.0,5.0,3.0
73,5.0,3.0,5.0,2.0,5.0,2.0,2.0,4.0,5.0,2.0,4.0,4.0,5.0,2.0,5.0,5.0,5.0,1.0,5.0,4.0,2.0,5.0,3.0,5.0,3.0,3.0,2.0,1.0,5.0,3.0,2.0
79,3.0,3.0,5.0,1.0,5.0,4.0,4.0,5.0,5.0,2.0,4.0,3.0,5.0,1.0,5.0,4.0,5.0,2.0,5.0,1.0,5.0,3.0,5.0,4.0,2.0,4.0,5.0,4.0,3.0,3.0,3.0
80,4.0,3.0,5.0,3.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,2.0,5.0,5.0,4.0,4.0,5.0,2.0,3.0,5.0,3.0,4.0,5.0,3.0,3.0,4.0,4.0,5.0,3.0
81,3.0,2.0,5.0,2.0,5.0,2.0,4.0,4.0,5.0,2.0,4.0,5.0,5.0,2.0,5.0,5.0,3.0,2.0,4.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0
82,5.0,3.0,4.0,3.0,5.0,2.0,4.0,4.0,5.0,1.0,4.0,4.0,5.0,2.0,5.0,5.0,3.0,3.0,5.0,3.0,4.0,4.0,4.0,3.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0
85,5.0,4.0,5.0,5.0,4.0,4.0,1.0,5.0,3.0,1.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,4.0,5.0,5.0,1.0,5.0,3.0,5.0,1.0,5.0,5.0,5.0
87,5.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,2.0,2.0,3.0,5.0,4.0,2.0,3.0,4.0,3.0,3.0,5.0,3.0,1.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0
88,3.0,4.0,2.0,2.0,5.0,2.0,4.0,4.0,3.0,1.0,3.0,1.0,5.0,2.0,5.0,5.0,4.0,1.0,4.0,4.0,5.0,5.0,4.0,4.0,1.0,4.0,3.0,2.0,5.0,5.0,2.0
89,5.0,4.0,3.0,5.0,5.0,1.0,5.0,4.0,3.0,1.0,1.0,5.0,5.0,1.0,5.0,5.0,2.0,1.0,5.0,1.0,1.0,5.0,5.0,2.0,2.0,5.0,5.0,5.0,5.0,1.0,1.0
96,5.0,2.0,4.0,4.0,5.0,2.0,3.0,3.0,4.0,2.0,5.0,3.0,3.0,1.0,5.0,5.0,3.0,2.0,3.0,2.0,5.0,3.0,4.0,3.0,5.0,3.0,4.0,2.0,3.0,5.0,1.0
104,4.0,2.0,5.0,3.0,5.0,2.0,5.0,5.0,2.0,2.0,5.0,1.0,5.0,1.0,5.0,5.0,4.0,4.0,5.0,1.0,5.0,1.0,3.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0
105,4.0,4.0,4.0,4.0,4.0,2.0,3.0,5.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,2.0,3.0,4.0,4.0,3.0,4.0,5.0,3.0
107,4.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,2.0,5.0,1.0,5.0,5.0,3.0,4.0,4.0,2.0,4.0,5.0,5.0,5.0,5.0,3.0,4.0,3.0,3.0,5.0,3.0
111,4.0,4.0,3.0,3.0,5.0,2.0,4.0,4.0,4.0,5.0,1.0,1.0,4.0,1.0,4.0,5.0,1.0,1.0,4.0,1.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,2.0,5.0,5.0
116,5.0,3.0,5.0,5.0,5.0,2.0,5.0,3.0,3.0,2.0,3.0,5.0,5.0,2.0,5.0,5.0,4.0,2.0,5.0,2.0,3.0,5.0,2.0,3.0,3.0,4.0,3.0,3.0,5.0,3.0,1.0
128,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,5.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,2.0
129,1.0,5.0,5.0,5.0,3.0,5.0,5.0,2.0,2.0,1.0,2.0,1.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,1.0,3.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,4.0,5.0,1.0
135,4.0,4.0,5.0,3.0,5.0,3.0,4.0,5.0,5.0,3.0,4.0,5.0,4.0,1.0,5.0,5.0,3.0,2.0,3.0,1.0,4.0,3.0,4.0,5.0,5.0,3.0,4.0,4.0,3.0,3.0,3.0
141,5.0,2.0,5.0,2.0,5.0,1.0,3.0,5.0,5.0,2.0,2.0,1.0,4.0,2.0,5.0,5.0,3.0,2.0,4.0,2.0,2.0,4.0,3.0,5.0,5.0,4.0,5.0,3.0,4.0,5.0,4.0
145,4.0,3.0,4.0,3.0,5.0,2.0,3.0,5.0,3.0,1.0,2.0,5.0,4.0,1.0,5.0,5.0,2.0,2.0,4.0,3.0,2.0,5.0,4.0,3.0,5.0,2.0,2.0,4.0,2.0,5.0,1.0
149,4.0,3.0,3.0,3.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,3.0,2.0,5.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,2.0,3.0,4.0,3.0,3.0
160,4.0,4.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,5.0,5.0,4.0,3.0,4.0,3.0,4.0,5.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0
182,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,5.0,3.0,4.0,5.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,3.0,5.0,3.0,3.0,3.0,3.0
184,5.0,4.0,3.0,2.0,4.0,1.0,3.0,5.0,4.0,2.0,5.0,3.0,3.0,1.0,5.0,5.0,5.0,3.0,4.0,1.0,4.0,3.0,3.0,2.0,2.0,3.0,4.0,4.0,4.0,5.0,3.0
197,3.0,3.0,5.0,2.0,5.0,2.0,2.0,4.0,5.0,2.0,4.0,1.0,3.0,3.0,5.0,5.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,5.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0
201,3.0,2.0,4.0,4.0,5.0,2.0,3.0,5.0,4.0,1.0,5.0,4.0,2.0,4.0,5.0,4.0,3.0,1.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,3.0,3.0,2.0,4.0,5.0,4.0
202,5.0,5.0,4.0,3.0,5.0,3.0,2.0,5.0,5.0,4.0,5.0,3.0,3.0,2.0,5.0,5.0,3.0,1.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,3.0,1.0,2.0,3.0,4.0,2.0
208,4.0,2.0,5.0,4.0,5.0,3.0,2.0,5.0,5.0,3.0,2.0,5.0,4.0,1.0,5.0,5.0,5.0,4.0,3.0,4.0,2.0,3.0,4.0,5.0,5.0,3.0,3.0,1.0,5.0,5.0,1.0
209,3.0,3.0,3.0,3.0,4.0,1.0,3.0,4.0,5.0,2.0,4.0,3.0,3.0,1.0,3.0,5.0,2.0,2.0,4.0,5.0,5.0,4.0,5.0,2.0,3.0,3.0,5.0,1.0,4.0,5.0,1.0
210,4.0,2.0,4.0,4.0,5.0,3.0,4.0,4.0,3.0,3.0,5.0,1.0,4.0,4.0,5.0,5.0,3.0,2.0,2.0,3.0,4.0,5.0,4.0,3.0,3.0,2.0,5.0,2.0,4.0,5.0,3.0
211,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,1.0,1.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0
212,5.0,2.0,1.0,2.0,5.0,2.0,5.0,3.0,5.0,1.0,5.0,2.0,5.0,1.0,5.0,5.0,5.0,1.0,5.0,1.0,4.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,5.0,3.0,2.0
214,5.0,4.0,5.0,3.0,5.0,3.0,4.0,4.0,5.0,2.0,4.0,1.0,3.0,2.0,5.0,5.0,4.0,2.0,5.0,5.0,2.0,5.0,2.0,4.0,3.0,4.0,2.0,5.0,3.0,3.0,2.0
221,4.0,5.0,5.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,5.0,3.0,3.0,1.0,5.0,5.0,2.0,3.0,1.0,2.0,4.0,3.0,2.0,3.0,2.0,3.0,4.0,1.0,3.0,3.0,3.0
222,2.0,4.0,5.0,4.0,5.0,1.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,3.0,4.0,3.0,5.0,4.0,5.0,3.0,3.0
226,5.0,5.0,4.0,4.0,4.0,2.0,2.0,5.0,2.0,3.0,3.0,3.0,3.0,2.0,5.0,5.0,4.0,2.0,2.0,4.0,4.0,5.0,5.0,2.0,5.0,4.0,4.0,2.0,3.0,5.0,3.0
227,5.0,1.0,5.0,3.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,5.0,5.0,3.0,1.0,4.0,3.0,3.0,5.0,3.0,1.0,3.0,5.0,2.0,3.0,3.0,1.0,1.0
231,4.0,3.0,4.0,5.0,4.0,4.0,2.0,4.0,4.0,5.0,4.0,1.0,5.0,1.0,4.0,5.0,5.0,3.0,5.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,2.0,3.0,4.0,2.0
233,5.0,1.0,3.0,4.0,5.0,4.0,1.0,3.0,2.0,2.0,3.0,4.0,4.0,2.0,5.0,5.0,1.0,1.0,2.0,2.0,4.0,3.0,3.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,2.0
234,3.0,3.0,4.0,4.0,5.0,2.0,4.0,3.0,4.0,2.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,2.0,4.0,5.0,3.0,2.0
237,5.0,2.0,5.0,3.0,5.0,2.0,3.0,5.0,5.0,3.0,2.0,2.0,4.0,3.0,5.0,1.0,5.0,1.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,1.0,3.0,5.0,2.0
242,4.0,3.0,3.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,5.0,3.0,2.0,1.0,5.0,5.0,5.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,1.0,3.0,5.0,2.0
247,5.0,1.0,2.0,4.0,5.0,3.0,3.0,5.0,5.0,2.0,3.0,4.0,5.0,2.0,5.0,5.0,1.0,4.0,4.0,2.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,1.0,4.0,5.0,5.0
249,5.0,2.0,5.0,4.0,5.0,1.0,4.0,3.0,5.0,1.0,4.0,4.0,2.0,4.0,5.0,5.0,3.0,3.0,4.0,3.0,2.0,5.0,2.0,5.0,4.0,3.0,2.0,3.0,4.0,3.0,2.0
250,5.0,4.0,5.0,4.0,5.0,4.0,3.0,5.0,5.0,4.0,2.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,2.0,5.0,4.0,3.0,5.0,3.0,4.0,2.0,4.0,3.0,2.0
252,2.0,2.0,5.0,3.0,5.0,2.0,5.0,5.0,5.0,2.0,4.0,5.0,4.0,2.0,5.0,5.0,5.0,2.0,5.0,4.0,4.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,4.0,3.0,2.0
258,5.0,3.0,5.0,3.0,5.0,2.0,5.0,5.0,4.0,3.0,4.0,3.0,2.0,3.0,5.0,5.0,3.0,2.0,4.0,1.0,2.0,4.0,3.0,3.0,5.0,3.0,3.0,5.0,4.0,5.0,4.0
265,5.0,3.0,5.0,3.0,5.0,1.0,3.0,3.0,3.0,3.0,5.0,5.0,3.0,3.0,5.0,3.0,3.0,3.0,5.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,5.0,5.0,2.0
271,5.0,5.0,5.0,1.0,5.0,1.0,3.0,5.0,5.0,2.0,5.0,3.0,3.0,4.0,5.0,5.0,3.0,1.0,4.0,5.0,5.0,5.0,5.0,4.0,2.0,3.0,5.0,2.0,3.0,2.0,2.0
274,3.0,4.0,5.0,4.0,4.0,2.0,4.0,4.0,5.0,2.0,4.0,3.0,4.0,2.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,5.0,4.0,5.0,5.0,3.0
276,4.0,3.0,5.0,4.0,5.0,4.0,3.0,4.0,5.0,3.0,2.0,4.0,5.0,4.0,5.0,5.0,5.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,5.0,3.0,4.0,4.0,3.0,3.0,3.0
277,5.0,3.0,5.0,2.0,5.0,5.0,5.0,3.0,5.0,3.0,1.0,4.0,3.0,4.0,5.0,5.0,2.0,1.0,5.0,3.0,1.0,5.0,4.0,4.0,5.0,4.0,1.0,1.0,4.0,4.0,3.0
279,5.0,5.0,5.0,4.0,5.0,2.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,2.0,5.0,5.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0,2.0,5.0,4.0,2.0,3.0,4.0,3.0,3.0
282,5.0,2.0,1.0,4.0,5.0,3.0,4.0,5.0,4.0,2.0,4.0,1.0,5.0,4.0,4.0,5.0,1.0,2.0,2.0,5.0,4.0,4.0,5.0,2.0,3.0,3.0,5.0,3.0,4.0,3.0,5.0
284,4.0,2.0,3.0,3.0,4.0,3.0,4.0,5.0,3.0,2.0,4.0,2.0,3.0,2.0,5.0,5.0,2.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,5.0,3.0,4.0,4.0,4.0
287,4.0,4.0,4.0,4.0,5.0,2.0,3.0,4.0,4.0,2.0,5.0,4.0,4.0,1.0,5.0,5.0,3.0,1.0,4.0,3.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,4.0,4.0,1.0
292,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,2.0,4.0,3.0,2.0
300,5.0,2.0,5.0,3.0,5.0,1.0,4.0,5.0,5.0,1.0,5.0,5.0,3.0,1.0,5.0,5.0,4.0,2.0,2.0,3.0,5.0,4.0,2.0,3.0,1.0,3.0,3.0,1.0,5.0,3.0,1.0
312,5.0,3.0,5.0,5.0,5.0,2.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,3.0,4.0,5.0,4.0,5.0,2.0,4.0,3.0,3.0
315,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0
320,4.0,4.0,5.0,4.0,5.0,2.0,4.0,3.0,5.0,3.0,3.0,1.0,4.0,1.0,5.0,5.0,5.0,2.0,5.0,2.0,3.0,4.0,3.0,5.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0
322,4.0,3.0,5.0,3.0,5.0,4.0,3.0,3.0,3.0,2.0,5.0,5.0,4.0,2.0,5.0,5.0,4.0,1.0,4.0,2.0,2.0,5.0,5.0,4.0,2.0,3.0,3.0,3.0,5.0,3.0,4.0
326,4.0,3.0,4.0,3.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,1.0,3.0,4.0,4.0,5.0,3.0,2.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,2.0,4.0,2.0,4.0,2.0
328,5.0,2.0,5.0,4.0,5.0,1.0,3.0,5.0,4.0,2.0,5.0,3.0,3.0,1.0,5.0,5.0,4.0,2.0,5.0,1.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,4.0,3.0,1.0
336,3.0,2.0,3.0,3.0,5.0,2.0,4.0,4.0,3.0,3.0,4.0,5.0,2.0,2.0,5.0,5.0,3.0,2.0,4.0,2.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,5.0,2.0
357,4.0,2.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,5.0,2.0,4.0,5.0,4.0,2.0,5.0,4.0,3.0,2.0,2.0,3.0,4.0
369,5.0,1.0,5.0,3.0,5.0,2.0,5.0,5.0,5.0,2.0,3.0,5.0,5.0,1.0,5.0,5.0,3.0,3.0,5.0,1.0,4.0,3.0,3.0,5.0,5.0,4.0,3.0,2.0,5.0,3.0,3.0
371,5.0,2.0,5.0,4.0,5.0,2.0,3.0,5.0,5.0,3.0,4.0,1.0,4.0,3.0,5.0,5.0,3.0,2.0,5.0,3.0,3.0,5.0,3.0,3.0,1.0,4.0,3.0,1.0,4.0,3.0,2.0
380,5.0,2.0,5.0,4.0,5.0,3.0,5.0,4.0,5.0,4.0,3.0,3.0,4.0,2.0,5.0,5.0,5.0,4.0,4.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,2.0,4.0,4.0,3.0
386,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0,5.0,3.0,5.0,5.0,4.0,3.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,3.0,4.0,4.0
389,5.0,3.0,3.0,4.0,4.0,2.0,3.0,4.0,5.0,4.0,4.0,3.0,5.0,1.0,5.0,5.0,4.0,3.0,5.0,3.0,5.0,4.0,4.0,4.0,2.0,3.0,5.0,3.0,5.0,5.0,1.0
399,4.0,3.0,2.0,2.0,5.0,2.0,3.0,5.0,3.0,3.0,5.0,1.0,4.0,3.0,5.0,5.0,2.0,2.0,2.0,3.0,5.0,3.0,4.0,5.0,3.0,4.0,3.0,5.0,3.0,2.0,3.0
426,5.0,5.0,5.0,2.0,5.0,1.0,3.0,5.0,5.0,1.0,3.0,4.0,1.0,3.0,5.0,5.0,3.0,3.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,3.0,3.0,2.0,5.0,5.0,1.0
431,3.0,3.0,5.0,4.0,5.0,3.0,3.0,5.0,4.0,3.0,2.0,1.0,4.0,2.0,5.0,5.0,2.0,2.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,2.0
443,3.0,2.0,5.0,3.0,5.0,4.0,4.0,4.0,5.0,2.0,3.0,5.0,2.0,1.0,5.0,5.0,3.0,1.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0
466,4.0,3.0,3.0,3.0,5.0,2.0,3.0,4.0,3.0,2.0,2.0,2.0,5.0,1.0,5.0,5.0,4.0,2.0,3.0,2.0,4.0,1.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,4.0
469,4.0,2.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,5.0,4.0,2.0,2.0,3.0,5.0,2.0,2.0,4.0,2.0,4.0,5.0,5.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0
480,5.0,3.0,4.0,3.0,5.0,2.0,3.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0,5.0,5.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,4.0,2.0,2.0
481,4.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,2.0,5.0,2.0,5.0,5.0,4.0,4.0,5.0,3.0,3.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,2.0,3.0
503,5.0,3.0,5.0,4.0,4.0,2.0,4.0,3.0,5.0,3.0,3.0,3.0,1.0,3.0,5.0,5.0,2.0,3.0,2.0,4.0,3.0,5.0,5.0,2.0,5.0,4.0,4.0,3.0,5.0,5.0,5.0
511,4.0,3.0,3.0,4.0,4.0,3.0,5.0,4.0,4.0,3.0,4.0,2.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0
517,5.0,3.0,5.0,2.0,5.0,1.0,5.0,3.0,5.0,3.0,5.0,5.0,2.0,4.0,5.0,5.0,3.0,3.0,5.0,3.0,3.0,4.0,3.0,1.0,5.0,5.0,2.0,4.0,5.0,5.0,3.0
527,5.0,3.0,5.0,2.0,5.0,1.0,3.0,3.0,5.0,1.0,5.0,5.0,3.0,4.0,5.0,5.0,2.0,1.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,1.0,4.0,4.0,2.0
529,5.0,1.0,4.0,5.0,5.0,1.0,3.0,5.0,4.0,1.0,5.0,2.0,1.0,1.0,5.0,5.0,3.0,2.0,5.0,2.0,1.0,5.0,5.0,2.0,5.0,4.0,3.0,3.0,5.0,3.0,1.0
535,5.0,3.0,5.0,3.0,5.0,1.0,3.0,5.0,5.0,3.0,4.0,1.0,4.0,1.0,5.0,5.0,3.0,2.0,4.0,1.0,4.0,3.0,3.0,5.0,5.0,3.0,4.0,2.0,4.0,1.0,5.0
536,5.0,1.0,5.0,4.0,5.0,4.0,3.0,3.0,5.0,3.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0,1.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,1.0,4.0,4.0,4.0,5.0,2.0
541,5.0,3.0,5.0,5.0,4.0,1.0,3.0,5.0,5.0,5.0,4.0,3.0,3.0,1.0,5.0,5.0,5.0,5.0,5.0,2.0,4.0,5.0,5.0,4.0,5.0,3.0,2.0,3.0,5.0,5.0,1.0
543,4.0,5.0,4.0,2.0,4.0,1.0,5.0,4.0,4.0,2.0,5.0,3.0,4.0,3.0,5.0,5.0,2.0,2.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,3.0,4.0,2.0,3.0,4.0,3.0
544,4.0,4.0,4.0,4.0,5.0,1.0,4.0,4.0,4.0,1.0,3.0,1.0,4.0,4.0,5.0,5.0,2.0,2.0,4.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,1.0,3.0,2.0
546,5.0,3.0,5.0,3.0,5.0,3.0,3.0,4.0,5.0,3.0,3.0,5.0,1.0,3.0,5.0,5.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,5.0,5.0,5.0
547,4.0,4.0,5.0,5.0,5.0,2.0,3.0,3.0,3.0,2.0,2.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,1.0,5.0,5.0,2.0
